region_id,scenario,kharif_et0_mm_day,rabi_et0_mm_day,et0_confidence,severity_note
R1,baseline,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,drought,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,water_shortage,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,heat,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,excessive_rainfall,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,unseasonal_rainfall,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,delayed_rainfall,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R1,combined_heat_drought,6.2,4.1,MEDIUM,baseline sourced; shock magnitudes are experimental parameters
R2,baseline,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,drought,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,water_shortage,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,heat,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,excessive_rainfall,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,unseasonal_rainfall,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,delayed_rainfall,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R2,combined_heat_drought,6.23,4.29,HIGH,baseline sourced; shock magnitudes are experimental parameters
R3,baseline,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,drought,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,water_shortage,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,heat,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,excessive_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,unseasonal_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,delayed_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R3,combined_heat_drought,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,baseline,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,drought,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,water_shortage,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,heat,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,excessive_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,unseasonal_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,delayed_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R4,combined_heat_drought,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,baseline,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,drought,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,water_shortage,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,heat,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,excessive_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,unseasonal_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,delayed_rainfall,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
R5,combined_heat_drought,,,REQUIRES_SOURCING,baseline sourced; shock magnitudes are experimental parameters
