crop_id,region_id,season,duration_days,crop_water_requirement_mm,expected_yield_kg_ha,cultivation_cost_per_ha,price_per_kg,labour_pd_per_ha,market_absorption_proxy,drought_sensitivity,heat_sensitivity,waterlogging_sensitivity
C01,R1,kharif,150,1046.2,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C01,R2,kharif,150,1051.3,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C01,R3,kharif,150,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C01,R4,kharif,150,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C01,R5,kharif,150,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C02,R1,rabi,120,417.7,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C02,R2,rabi,120,437.0,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C02,R3,rabi,120,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C02,R4,rabi,120,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C02,R5,rabi,120,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R1,kharif,125,641.7,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R1,rabi,125,424.3,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R2,kharif,125,644.8,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R2,rabi,125,444.0,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R3,kharif,125,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R3,rabi,125,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R4,kharif,125,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
C03,R4,rabi,125,,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING,REQUIRES_SOURCING
