farmer_id,collective_id,region_id,season,holding_category,total_area_ha,cultivation_budget,labour_capacity,minimum_projected_income,risk_tolerance,participation_state,synthetic_seed,synthetic
F0001,C02,R2,kharif,large,11.679,502687.0,1099.0,406652.0,0.56,INVITED,114060684,True
F0002,C07,R2,kharif,marginal,0.485,15691.0,46.0,21260.0,0.7,INVITED,143607338,True
F0003,C03,R3,kharif,marginal,0.484,15776.0,43.0,15891.0,0.27,INVITED,658016613,True
F0004,C06,R1,kharif,marginal,0.513,21102.0,56.0,25916.0,0.63,INVITED,1920833001,True
F0005,C07,R2,kharif,small,1.738,45531.0,156.0,47570.0,0.64,INVITED,1625018798,True
F0006,C06,R1,kharif,marginal,0.836,25612.0,58.0,35528.0,0.37,INVITED,1839658157,True
F0007,C01,R1,kharif,small,1.782,51897.0,154.0,50387.0,0.83,INVITED,1370607936,True
F0008,C04,R4,kharif,small,1.098,36918.0,116.0,51333.0,0.73,INVITED,1314768563,True
F0009,C09,R4,kharif,marginal,0.254,7896.0,16.0,10095.0,0.42,INVITED,1516846533,True
F0010,C10,R5,kharif,marginal,0.36,9179.0,38.0,9185.0,0.29,INVITED,899342927,True
F0011,C09,R4,kharif,medium,5.233,169223.0,414.0,185867.0,0.62,INVITED,1761721496,True
F0012,C01,R1,kharif,marginal,0.377,9992.0,30.0,11942.0,0.63,INVITED,1792449689,True
F0013,C10,R5,kharif,marginal,0.682,22548.0,43.0,23247.0,0.36,INVITED,1252576877,True
F0014,C04,R4,kharif,medium,5.305,160907.0,378.0,141670.0,0.57,INVITED,638180912,True
F0015,C02,R2,kharif,marginal,0.227,5696.0,15.0,5270.0,0.87,INVITED,516347111,True
F0016,C01,R1,kharif,small,1.068,41294.0,70.0,55355.0,0.31,INVITED,86660098,True
F0017,C10,R5,kharif,large,12.228,347876.0,1013.0,423087.0,0.25,INVITED,1034123048,True
F0018,C05,R5,kharif,small,1.123,40108.0,98.0,52721.0,0.27,INVITED,390694563,True
F0019,C03,R3,kharif,marginal,0.75,21853.0,78.0,17714.0,0.24,INVITED,1490082987,True
F0020,C05,R5,kharif,semi_medium,3.187,132961.0,304.0,182262.0,0.76,INVITED,1456092804,True
F0021,C07,R2,kharif,small,1.617,51649.0,123.0,49239.0,0.72,INVITED,997229159,True
F0022,C01,R1,kharif,marginal,0.878,34446.0,57.0,28996.0,0.13,INVITED,1263980514,True
F0023,C02,R2,kharif,marginal,0.591,25321.0,62.0,22627.0,0.15,INVITED,768208874,True
F0024,C09,R4,kharif,marginal,0.717,29035.0,47.0,29195.0,0.27,INVITED,373428981,True
F0025,C10,R5,kharif,marginal,0.306,10964.0,24.0,12923.0,0.4,INVITED,381249820,True
F0026,C04,R4,kharif,marginal,0.479,13147.0,32.0,13117.0,0.48,INVITED,1284903395,True
F0027,C06,R1,kharif,semi_medium,3.739,139280.0,313.0,153381.0,0.47,INVITED,434862591,True
F0028,C08,R3,kharif,marginal,0.715,25863.0,46.0,35454.0,0.75,INVITED,97658014,True
F0029,C04,R4,kharif,semi_medium,2.801,75082.0,231.0,60856.0,0.18,INVITED,635475302,True
F0030,C01,R1,kharif,small,1.094,45233.0,120.0,58588.0,0.14,INVITED,570517315,True
F0031,C10,R5,kharif,small,1.7,53088.0,111.0,69936.0,0.49,INVITED,1522425844,True
F0032,C07,R2,kharif,marginal,0.657,24161.0,45.0,23974.0,0.33,INVITED,334529766,True
F0033,C06,R1,kharif,marginal,0.226,9780.0,21.0,9078.0,0.11,INVITED,1689677234,True
F0034,C02,R2,kharif,small,1.978,57723.0,161.0,56812.0,0.26,INVITED,1003823823,True
F0035,C03,R3,kharif,marginal,0.67,26421.0,54.0,33397.0,0.66,INVITED,1509779901,True
F0036,C09,R4,kharif,marginal,0.275,8328.0,26.0,10841.0,0.51,INVITED,1177694472,True
F0037,C03,R3,kharif,marginal,0.613,22666.0,50.0,24439.0,0.82,INVITED,385288777,True
F0038,C05,R5,kharif,semi_medium,3.895,146662.0,383.0,168926.0,0.62,INVITED,1001072044,True
F0039,C06,R1,kharif,marginal,0.724,26416.0,52.0,28707.0,0.13,INVITED,1286760557,True
F0040,C07,R2,kharif,semi_medium,2.317,81261.0,221.0,87448.0,0.79,INVITED,1140912467,True
F0041,C04,R4,kharif,marginal,0.291,12033.0,20.0,9914.0,0.15,INVITED,1555416273,True
F0042,C01,R1,kharif,marginal,0.315,11832.0,29.0,11954.0,0.29,INVITED,1474034037,True
F0043,C02,R2,kharif,small,1.688,45998.0,130.0,40092.0,0.3,INVITED,137111195,True
F0044,C06,R1,kharif,marginal,0.4,10841.0,42.0,11838.0,0.53,INVITED,1024637813,True
F0045,C02,R2,kharif,marginal,0.324,13675.0,20.0,11558.0,0.79,INVITED,1326353220,True
F0046,C09,R4,kharif,marginal,0.306,11822.0,23.0,10230.0,0.13,INVITED,494970826,True
F0047,C06,R1,kharif,marginal,0.843,37728.0,81.0,52068.0,0.66,INVITED,731651807,True
