plot_id,farmer_id,region_id,area_ha,soil_group,soil_suitability_class,drainage_class,irrigation_access,available_water_m3,previous_crop,rotation_group,flood_exposure,drought_exposure,waterlogging_exposure,hazard_zone,active_season,synthetic_seed,synthetic
F0001-P01,F0001,R2,3.217,black,S2,poor,rainfed,3559.1,rice,cereal,none,moderate,high,R2-HZ1,kharif,23226754,True
F0001-P02,F0001,R2,4.996,red,S2,moderate,rainfed,5892.4,maize,cereal,moderate,none,none,R2-HZ2,kharif,1083242463,True
F0001-P03,F0001,R2,3.466,red,S1,well,tubewell,13700.3,cotton,fibre,low,high,moderate,R2-HZ3,kharif,1738379084,True
F0002-P01,F0002,R2,0.485,red,S3,moderate,rainfed,470.3,,,low,none,moderate,R2-HZ1,kharif,89074551,True
F0003-P01,F0003,R3,0.071,laterite,S1,well,canal,495.1,cotton,fibre,moderate,high,low,R3-HZ1,kharif,131128510,True
F0003-P02,F0003,R3,0.413,laterite,S3,well,canal,3146.9,cotton,fibre,high,none,low,R3-HZ2,kharif,1727083939,True
F0004-P01,F0004,R1,0.149,alluvial,S2,well,canal,792.2,pigeon_pea,legume,low,none,moderate,R1-HZ1,kharif,340154658,True
F0004-P02,F0004,R1,0.364,alluvial,S2,moderate,canal,2136.1,groundnut,legume,none,none,moderate,R1-HZ2,kharif,863544579,True
F0005-P01,F0005,R2,0.636,black,S2,well,tubewell,2123.2,pigeon_pea,legume,moderate,high,moderate,R2-HZ1,kharif,784460912,True
F0005-P02,F0005,R2,0.239,red,S1,moderate,canal,1073.4,maize,cereal,none,high,moderate,R2-HZ2,kharif,1856745204,True
F0005-P03,F0005,R2,0.863,red,S1,moderate,rainfed,907.4,groundnut,legume,none,high,none,R2-HZ3,kharif,1550958715,True
F0006-P01,F0006,R1,0.572,sandy,S1,moderate,tubewell,2956.1,groundnut,legume,low,none,none,R1-HZ1,kharif,1735168997,True
F0006-P02,F0006,R1,0.264,sandy,S1,well,rainfed,367.5,maize,cereal,moderate,low,none,R1-HZ2,kharif,794462400,True
F0007-P01,F0007,R1,0.122,alluvial,S1,poor,canal,756.5,maize,cereal,high,low,moderate,R1-HZ1,kharif,1291869664,True
F0007-P02,F0007,R1,1.66,alluvial,S3,moderate,tubewell,7347.5,rice,cereal,none,low,moderate,R1-HZ2,kharif,780457688,True
F0008-P01,F0008,R4,1.098,red,N,moderate,canal,4922.5,pigeon_pea,legume,low,high,none,R4-HZ1,kharif,1445257655,True
F0009-P01,F0009,R4,0.254,sandy,S1,well,tubewell,932.7,cotton,fibre,low,high,moderate,R4-HZ1,kharif,1087759045,True
F0010-P01,F0010,R5,0.36,laterite,S3,moderate,rainfed,593.1,groundnut,legume,none,moderate,low,R5-HZ1,kharif,866098018,True
F0011-P01,F0011,R4,0.248,red,S1,well,rainfed,276.4,rice,cereal,moderate,high,moderate,R4-HZ1,kharif,1315300148,True
F0011-P02,F0011,R4,1.743,red,S3,well,rainfed,1764.8,maize,cereal,moderate,low,low,R4-HZ2,kharif,426749958,True
F0011-P03,F0011,R4,0.248,sandy,S1,well,rainfed,223.2,maize,cereal,none,high,none,R4-HZ3,kharif,1351045548,True
F0011-P04,F0011,R4,2.994,red,S2,well,tubewell,10916.4,pigeon_pea,legume,none,low,low,R4-HZ1,kharif,914192766,True
F0012-P01,F0012,R1,0.177,sandy,S1,well,tubewell,849.6,groundnut,legume,low,low,low,R1-HZ1,kharif,1095871512,True
F0012-P02,F0012,R1,0.2,alluvial,S1,well,tubewell,935.5,groundnut,legume,low,none,none,R1-HZ2,kharif,1337039615,True
F0013-P01,F0013,R5,0.682,laterite,S1,well,tubewell,3217.7,pigeon_pea,legume,low,none,low,R5-HZ1,kharif,1656798458,True
F0014-P01,F0014,R4,0.709,red,S2,poor,rainfed,666.9,rice,cereal,none,none,low,R4-HZ1,kharif,1904362785,True
F0014-P02,F0014,R4,4.046,sandy,S1,well,rainfed,4646.2,maize,cereal,moderate,low,moderate,R4-HZ2,kharif,546120168,True
F0014-P03,F0014,R4,0.55,sandy,S2,well,rainfed,553.1,groundnut,legume,low,high,moderate,R4-HZ3,kharif,1296263254,True
F0015-P01,F0015,R2,0.065,black,S2,moderate,rainfed,59.5,pigeon_pea,legume,low,none,moderate,R2-HZ1,kharif,1108482554,True
F0015-P02,F0015,R2,0.162,black,S1,moderate,canal,719.7,groundnut,legume,low,none,low,R2-HZ2,kharif,750673714,True
F0016-P01,F0016,R1,1.068,sandy,S1,well,canal,6284.3,maize,cereal,none,low,moderate,R1-HZ1,kharif,458597322,True
F0017-P01,F0017,R5,1.501,red,S2,moderate,rainfed,2069.6,pigeon_pea,legume,low,none,moderate,R5-HZ1,kharif,1205650735,True
F0017-P02,F0017,R5,2.353,laterite,S1,well,tubewell,11837.2,groundnut,legume,none,none,low,R5-HZ2,kharif,678376725,True
F0017-P03,F0017,R5,3.55,laterite,S3,well,canal,21965.4,maize,cereal,none,high,moderate,R5-HZ3,kharif,1658384763,True
F0017-P04,F0017,R5,1.543,laterite,S1,moderate,tubewell,7846.4,pigeon_pea,legume,low,none,moderate,R5-HZ1,kharif,1582690703,True
F0017-P05,F0017,R5,3.281,red,S3,well,canal,22516.8,,,none,none,low,R5-HZ2,kharif,1271824653,True
F0018-P01,F0018,R5,0.948,red,S3,well,tubewell,4792.5,pigeon_pea,legume,none,low,none,R5-HZ1,kharif,1205631239,True
F0018-P02,F0018,R5,0.175,laterite,S1,moderate,tubewell,983.3,groundnut,legume,none,none,moderate,R5-HZ2,kharif,1639146345,True
F0019-P01,F0019,R3,0.75,alluvial,S1,well,tubewell,4618.2,cotton,fibre,moderate,low,moderate,R3-HZ1,kharif,1438864542,True
F0020-P01,F0020,R5,1.715,red,S2,well,rainfed,2675.1,rice,cereal,none,moderate,low,R5-HZ1,kharif,226995290,True
F0020-P02,F0020,R5,0.541,red,S2,well,rainfed,900.0,cotton,fibre,none,low,none,R5-HZ2,kharif,1922904343,True
F0020-P03,F0020,R5,0.931,laterite,S2,poor,rainfed,1187.8,pigeon_pea,legume,none,low,high,R5-HZ3,kharif,1358092340,True
F0021-P01,F0021,R2,1.617,black,S2,poor,canal,7178.1,pigeon_pea,legume,moderate,moderate,high,R2-HZ1,kharif,631278777,True
F0022-P01,F0022,R1,0.878,sandy,S1,well,canal,5616.4,maize,cereal,none,none,low,R1-HZ1,kharif,820364653,True
F0023-P01,F0023,R2,0.591,red,S3,well,rainfed,697.0,rice,cereal,low,low,low,R2-HZ1,kharif,840499450,True
F0024-P01,F0024,R4,0.034,sandy,S2,moderate,rainfed,37.8,cotton,fibre,moderate,moderate,none,R4-HZ1,kharif,1743733026,True
F0024-P02,F0024,R4,0.683,red,S1,poor,rainfed,777.2,,,none,moderate,low,R4-HZ2,kharif,11126985,True
F0025-P01,F0025,R5,0.056,laterite,S1,well,rainfed,77.7,cotton,fibre,moderate,none,low,R5-HZ1,kharif,1374385019,True
F0025-P02,F0025,R5,0.25,laterite,S2,moderate,rainfed,351.2,pigeon_pea,legume,moderate,moderate,moderate,R5-HZ2,kharif,1441275708,True
F0026-P01,F0026,R4,0.479,sandy,S2,well,tubewell,1926.6,groundnut,legume,high,high,none,R4-HZ1,kharif,339150368,True
F0027-P01,F0027,R1,2.464,alluvial,S2,well,canal,12804.3,rice,cereal,low,none,moderate,R1-HZ1,kharif,923747484,True
F0027-P02,F0027,R1,0.489,sandy,S1,well,canal,3229.3,maize,cereal,none,low,moderate,R1-HZ2,kharif,1115757153,True
F0027-P03,F0027,R1,0.786,alluvial,S3,well,canal,4891.7,rice,cereal,high,none,moderate,R1-HZ3,kharif,1486049750,True
F0028-P01,F0028,R3,0.715,alluvial,S1,well,rainfed,1517.6,rice,cereal,moderate,none,low,R3-HZ1,kharif,1837495375,True
