crop,total_arrival_mt,absorption_proxy,note
chickpea,2781286.6,0.1,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
cotton,3996042.8,0.143,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
groundnut,1032393.7,0.037,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
maize,5393386.7,0.194,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
mustard,4419986.5,0.159,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
onion,27866533.7,1.0,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
pearl_millet,1348797.5,0.048,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
pigeon_pea,2016771.9000000001,0.072,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
potato,7143356.2,0.256,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
rice,25170897.3,0.903,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
sorghum,740290.9,0.027,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
soybean,6776607.8,0.243,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
tomato,4928558.5,0.177,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
wheat,21922346.6,0.787,market-throughput/absorption proxy from mandi arrivals; NOT observed demand
