region_id,state,crop,year,cost_a2fl_per_ha,cost_c2_per_ha,labour_man_hours_ha,labour_person_days_ha,coc_yield_q_ha,source,labour_note
R5,Karnataka,rice,2021-22,71186.01,94059.5,581.99,72.7,48.0,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R2,Maharashtra,rice,2021-22,81713.44,93348.86,1022.12,127.8,20.55,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R1,Punjab,rice,2021-22,58782.57,101344.4,309.26,38.7,69.8,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R3,West Bengal,rice,2021-22,55809.83,74657.27,639.5,79.9,36.15,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R5,Karnataka,wheat,2021-22,32636.44,41457.7,324.82,40.6,10.87,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R2,Maharashtra,wheat,2021-22,53976.83,68920.47,362.57,45.3,26.33,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R1,Punjab,wheat,2021-22,37600.8,69452.42,89.82,11.2,42.45,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R4,Rajasthan,wheat,2021-22,58250.45,80947.34,448.74,56.1,41.64,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R3,West Bengal,wheat,2021-22,49348.01,60397.75,315.34,39.4,21.0,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R5,Karnataka,maize,2021-22,47853.46,66073.68,423.96,53.0,35.46,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R2,Maharashtra,maize,2021-22,66968.97,92343.15,641.29,80.2,57.0,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
R1,Punjab,maize,2021-22,62635.26,78072.34,448.34,56.0,37.51,DES Cost of Cultivation (via India Data Portal),"man-hours/ha ÷8 = person-days/ha (total human labour, no double count)"
