region_id,state,crop,agmarknet_commodity,price_rs_per_quintal,price_rs_per_kg,n_months,coverage_pct,sparse_flag,method,source
R5,Karnataka,chickpea,Bengal Gram(Gram)(Whole),6028.0,60.28,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,cotton,Cotton,7289.0,72.89,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,groundnut,Groundnut,6028.3,60.28,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,maize,Maize,2226.6,22.27,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,mustard,Mustard,7414.7,74.15,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,onion,Onion,1511.8,15.12,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,pearl_millet,Bajra(Pearl Millet/Cumbu),2379.5,23.79,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,pigeon_pea,Red gram/Arhar/Tur(whole),9196.6,91.97,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,potato,Potato,1762.8,17.63,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,rice,Paddy(Common),2299.5,22.99,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,sorghum,Jowar(Sorghum),2951.8,29.52,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,soybean,Soyabean,4472.1,44.72,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,tomato,Tomato,1223.3,12.23,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R5,Karnataka,wheat,Wheat,3354.1,33.54,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,chickpea,Bengal Gram(Gram)(Whole),5762.2,57.62,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,cotton,Cotton,7172.0,71.72,35,97.2,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,groundnut,Groundnut,5638.0,56.38,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,maize,Maize,2110.8,21.11,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,mustard,Mustard,6707.1,67.07,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,onion,Onion,1395.2,13.95,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,pearl_millet,Bajra(Pearl Millet/Cumbu),2764.4,27.64,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,pigeon_pea,Red gram/Arhar/Tur(whole),8747.4,87.47,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,potato,Potato,1488.7,14.89,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,rice,Paddy(Common),2623.4,26.23,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,sorghum,Jowar(Sorghum),3410.9,34.11,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,soybean,Soyabean,4357.4,43.57,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,tomato,Tomato,1367.3,13.67,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R2,Maharashtra,wheat,Wheat,3281.6,32.82,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,chickpea,Bengal Gram(Gram)(Whole),4960.0,49.6,5,13.9,True,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,cotton,Cotton,7114.7,71.15,28,77.8,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,maize,Maize,2170.3,21.7,27,75.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,mustard,Mustard,5627.6,56.28,24,66.7,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,onion,Onion,1544.7,15.45,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,pearl_millet,Bajra(Pearl Millet/Cumbu),2000.0,20.0,1,2.8,True,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,potato,Potato,749.2,7.49,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,rice,Paddy(Common),2324.5,23.25,12,33.3,True,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,tomato,Tomato,1893.1,18.93,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R1,Punjab,wheat,Wheat,2463.2,24.63,27,75.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,chickpea,Bengal Gram(Gram)(Whole),5332.7,53.33,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,cotton,Cotton,7123.5,71.24,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,groundnut,Groundnut,5449.5,54.49,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,maize,Maize,2141.2,21.41,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,mustard,Mustard,5536.2,55.36,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,onion,Onion,1230.2,12.3,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
R4,Rajasthan,pearl_millet,Bajra(Pearl Millet/Cumbu),2194.4,21.94,36,100.0,False,"median of monthly weighted-modal, >3xIQR dropped, nonpositive removed",AGMARKNET portal (Jan2023-Dec2025 monthly)
