region_id,state,crop,season_reported,year,area_ha,production_t,yield_kg_ha,unit_note,source,method
R1,Punjab,chickpea,Rabi,2021-22,1700.0,2200.0,1294.1,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,chickpea,Rabi,2022-23,1700.0,1800.0,1058.8,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,groundnut,Kharif,2021-22,1400.0,2800.0,2000.0,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,groundnut,Kharif,2022-23,1700.0,2900.0,1705.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,maize,Kharif,2021-22,105300.0,414000.0,3931.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,maize,Kharif,2022-23,93300.0,409900.0,4393.4,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,mustard,Rabi,2021-22,38600.0,62000.0,1606.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,mustard,Rabi,2022-23,43300.0,70500.0,1628.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,pearl_millet,Kharif,2021-22,2300.0,1500.0,652.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,pearl_millet,Kharif,2022-23,600.0,400.0,666.7,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,pigeon_pea,Kharif,2021-22,1500.0,1500.0,1000.0,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,pigeon_pea,Kharif,2022-23,1200.0,1300.0,1083.3,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,rice,Kharif,2021-22,3143400.0,13642000.0,4339.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,rice,Kharif,2022-23,3167800.0,13751000.0,4340.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,wheat,Rabi,2021-22,3526500.0,14871000.0,4216.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R1,Punjab,wheat,Rabi,2022-23,3517500.0,16567400.0,4710.0,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,chickpea,Rabi,2021-22,2372179.3,2715128.6,1144.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,chickpea,Rabi,2022-23,2934822.1,2974148.5,1013.4,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,groundnut,Kharif,2021-22,231733.2,268941.1,1160.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,groundnut,Kharif,2022-23,165455.0,205164.4,1240.0,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,maize,Kharif,2021-22,811469.9,2186293.7,2694.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,maize,Kharif,2022-23,838639.0,2613831.0,3116.8,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,pearl_millet,Kharif,2021-22,644737.7,599805.0,930.3,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,pearl_millet,Kharif,2022-23,491317.0,536259.0,1091.5,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,pigeon_pea,Kharif,2021-22,1418922.6,1649519.1,1162.5,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,pigeon_pea,Kharif,2022-23,1191371.0,859114.0,721.1,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,rice,Kharif,2021-22,1472784.7,3132485.8,2126.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,rice,Kharif,2022-23,1522931.7,3496426.0,2295.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,sorghum,Kharif,2021-22,339457.0,262463.4,773.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,sorghum,Kharif,2022-23,150537.8,140583.2,933.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,soybean,Kharif,2021-22,4526479.2,5447145.2,1203.4,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,soybean,Kharif,2022-23,4892703.0,6679905.0,1365.3,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,wheat,Rabi,2021-22,1132247.4,2144251.9,1893.8,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R2,Maharashtra,wheat,Rabi,2022-23,1203623.4,2301022.6,1911.7,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,chickpea,Rabi,2021-22,39946.0,48172.0,1205.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,chickpea,Rabi,2022-23,39842.0,50640.0,1271.0,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,groundnut,Rabi,2021-22,6144.0,11523.0,1875.5,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,groundnut,Rabi,2022-23,4907.0,9589.0,1954.1,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,maize,Rabi,2021-22,164698.0,1318506.0,8005.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,maize,Rabi,2022-23,167249.0,1044841.0,6247.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,mustard,Rabi,2021-22,610340.0,743530.0,1218.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,mustard,Rabi,2022-23,656768.0,816597.0,1243.4,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,pearl_millet,Kharif,2021-22,72.0,31.0,430.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,pearl_millet,Kharif,2022-23,70.0,30.0,428.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,pigeon_pea,Rabi,2021-22,3286.0,5157.0,1569.4,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,pigeon_pea,Rabi,2022-23,2581.0,4201.0,1627.7,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,potato,Rabi,2021-22,447451.0,12403132.0,27719.5,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,potato,Rabi,2022-23,501652.0,14877932.0,29657.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,soybean,Kharif,2021-22,233.0,186.0,798.3,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,soybean,Kharif,2022-23,235.0,192.0,817.0,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,wheat,Rabi,2021-22,220507.0,655761.0,2973.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R3,West Bengal,wheat,Rabi,2022-23,180352.0,556901.0,3087.9,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R4,Rajasthan,chickpea,Rabi,2021-22,2300714.0,2684331.0,1166.7,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R4,Rajasthan,chickpea,Rabi,2022-23,1937321.0,1808708.0,933.6,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R4,Rajasthan,groundnut,Kharif,2021-22,800475.0,1705960.0,2131.2,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R4,Rajasthan,groundnut,Kharif,2022-23,804749.0,1934188.0,2403.5,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
R4,Rajasthan,maize,Kharif,2021-22,951797.0,1984572.0,2085.1,,DES APY (data.desagri.gov.in),SUM(prod)/SUM(area)
