,,,,All Type of Report (All Grades) for 01-Jan-2023 to 31-Dec-2025,,,
State/UT,Commodity Group,Commodity,Month,Arrival Quantity 01-01-2023 to 31-12-2025,Arrival Unit,Modal Price 01-01-2023 to 31-12-2025,Price Unit
Andaman and Nicobar,Vegetables,Onion,January-2023,0.21,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,January-2023,0.21,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,January-2023,0.14,Metric Tonnes,12000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,February-2023,0.18,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,February-2023,0.18,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,February-2023,0.12,Metric Tonnes,12000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,May-2023,0.33,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,May-2023,0.33,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,May-2023,0.14,Metric Tonnes,12000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,June-2023,0.33,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,June-2023,0.33,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,June-2023,0.32,Metric Tonnes,12031.25,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,September-2023,0.06,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,September-2023,0.06,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,September-2023,0.06,Metric Tonnes,19000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,November-2023,0.30,Metric Tonnes,9000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,November-2023,0.45,Metric Tonnes,4000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,November-2023,0.10,Metric Tonnes,9000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,December-2023,0.20,Metric Tonnes,9000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,December-2023,0.30,Metric Tonnes,4500.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,December-2023,0.10,Metric Tonnes,9000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,February-2024,0.10,Metric Tonnes,7500.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,February-2024,0.20,Metric Tonnes,4500.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,February-2024,0.35,Metric Tonnes,1051.43,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,March-2024,0.56,Metric Tonnes,3428.57,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,March-2024,1.07,Metric Tonnes,3663.55,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,March-2024,1.05,Metric Tonnes,3220.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Onion,April-2024,0.05,Metric Tonnes,6000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Potato,April-2024,0.05,Metric Tonnes,7000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,April-2024,0.05,Metric Tonnes,4000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,July-2024,0.20,Metric Tonnes,12000.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,August-2024,1.00,Metric Tonnes,11500.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,September-2024,0.30,Metric Tonnes,5370.00,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,October-2024,0.27,Metric Tonnes,9796.30,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,November-2024,0.15,Metric Tonnes,123.33,Rs./Quintal
Andaman and Nicobar,Vegetables,Tomato,December-2024,0.65,Metric Tonnes,9107.69,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,January-2023,476.60,Metric Tonnes,1051.35,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,January-2023,2407.81,Metric Tonnes,1532.56,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,February-2023,1613.90,Metric Tonnes,708.15,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,February-2023,1525.36,Metric Tonnes,1494.15,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,March-2023,1151.20,Metric Tonnes,622.02,Rs./Quintal
