farmer_id,plot_id,crop,area_ha,net_return,cost,labour_pd
F0001,F0001-P03,groundnut,3.466,174537.0,349073.0,294.6
F0001,F0001-P02,pearl_millet,4.996,78140.0,124134.0,249.8
F0002,F0002-P01,pearl_millet,0.485,7586.0,12051.0,24.2
F0003,F0003-P02,soybean,0.413,7797.0,15594.0,18.6
F0004,F0004-P02,maize,0.364,9520.0,16094.0,23.7
F0005,F0005-P01,maize,0.636,16634.0,28120.0,41.3
F0006,F0006-P01,maize,0.572,14960.0,25291.0,37.2
F0007,F0007-P02,pearl_millet,1.66,25963.0,41246.0,83.0
F0009,F0009-P01,pearl_millet,0.254,3973.0,6311.0,12.7
F0010,F0010-P01,pearl_millet,0.36,5631.0,8945.0,18.0
F0011,F0011-P04,pearl_millet,2.994,46828.0,74391.0,149.7
F0012,F0012-P02,maize,0.2,5231.0,8843.0,13.0
F0013,F0013-P01,pearl_millet,0.682,10667.0,16945.0,34.1
F0015,F0015-P02,pearl_millet,0.162,2534.0,4025.0,8.1
F0015,F0015-P01,pearl_millet,0.065,1017.0,1615.0,3.2
F0016,F0016-P01,pearl_millet,1.068,16704.0,26536.0,53.4
F0017,F0017-P05,groundnut,3.281,165221.0,330441.0,278.9
F0018,F0018-P01,soybean,0.948,17897.0,35794.0,42.7
F0019,F0019-P01,pearl_millet,0.75,11730.0,18635.0,37.5
F0020,F0020-P01,maize,1.715,44853.0,75828.0,111.5
F0020,F0020-P02,groundnut,0.541,27243.0,54486.0,46.0
F0022,F0022-P01,pearl_millet,0.878,13732.0,21815.0,43.9
F0023,F0023-P01,pearl_millet,0.591,9244.0,14684.0,29.5
F0025,F0025-P02,pearl_millet,0.25,3910.0,6212.0,12.5
F0026,F0026-P01,pearl_millet,0.479,7492.0,11902.0,23.9
F0027,F0027-P01,maize,2.464,64442.0,108945.0,160.2
F0028,F0028-P01,pearl_millet,0.715,11183.0,17765.0,35.8
F0029,F0029-P01,maize,0.358,9363.0,15829.0,23.3
F0030,F0030-P01,maize,0.551,14411.0,24362.0,35.8
F0031,F0031-P02,groundnut,0.524,26387.0,52774.0,44.5
F0032,F0032-P02,pearl_millet,0.243,3801.0,6038.0,12.2
F0033,F0033-P01,pearl_millet,0.226,3535.0,5615.0,11.3
F0035,F0035-P01,maize,0.421,11011.0,18614.0,27.4
F0037,F0037-P01,maize,0.368,9624.0,16271.0,23.9
F0038,F0038-P02,pigeon_pea,3.141,77778.0,132292.0,172.8
F0039,F0039-P01,maize,0.502,13129.0,22196.0,32.6
F0040,F0040-P03,soybean,1.949,36795.0,73590.0,87.7
F0040,F0040-P01,pearl_millet,0.197,3081.0,4895.0,9.8
F0041,F0041-P01,groundnut,0.042,2115.0,4230.0,3.6
F0042,F0042-P01,pearl_millet,0.315,4927.0,7827.0,15.8
F0043,F0043-P03,pearl_millet,1.273,19910.0,31630.0,63.6
F0043,F0043-P01,maize,0.269,7035.0,11894.0,17.5
F0044,F0044-P01,pearl_millet,0.4,6256.0,9939.0,20.0
F0045,F0045-P01,soybean,0.324,6117.0,12234.0,14.6
F0047,F0047-P02,groundnut,0.215,10827.0,21653.0,18.3
F0048,F0048-P02,maize,0.162,4237.0,7163.0,10.5
F0049,F0049-P01,pearl_millet,0.983,15375.0,24424.0,49.1
F0050,F0050-P01,maize,0.848,22178.0,37494.0,55.1
F0050,F0050-P02,groundnut,0.052,2619.0,5237.0,4.4
F0051,F0051-P01,pearl_millet,0.675,10557.0,16772.0,33.8
F0052,F0052-P02,pearl_millet,0.159,2487.0,3951.0,8.0
F0052,F0052-P01,pearl_millet,0.102,1595.0,2534.0,5.1
F0053,F0053-P01,pearl_millet,0.619,9681.0,15380.0,30.9
F0054,F0054-P04,pearl_millet,0.999,15625.0,24822.0,50.0
F0054,F0054-P01,pearl_millet,0.457,7148.0,11355.0,22.9
F0055,F0055-P01,pearl_millet,0.412,6444.0,10237.0,20.6
F0056,F0056-P01,maize,0.882,23067.0,38997.0,57.3
F0058,F0058-P01,pearl_millet,0.322,5036.0,8001.0,16.1
F0061,F0061-P01,pearl_millet,0.238,3722.0,5914.0,11.9
F0062,F0062-P01,soybean,0.598,11290.0,22579.0,26.9
F0063,F0063-P01,pearl_millet,0.163,2549.0,4050.0,8.2
F0064,F0064-P02,pigeon_pea,2.003,49599.0,84362.0,110.2
F0066,F0066-P02,groundnut,0.093,4683.0,9366.0,7.9
F0068,F0068-P01,maize,0.742,19406.0,32807.0,48.2
F0068,F0068-P02,pearl_millet,0.722,11292.0,17939.0,36.1
F0069,F0069-P01,pigeon_pea,1.124,27833.0,47340.0,61.8
F0070,F0070-P01,pearl_millet,0.858,13420.0,21319.0,42.9
F0071,F0071-P01,pearl_millet,1.634,25557.0,40600.0,81.7
F0072,F0072-P02,soybean,0.211,3983.0,7967.0,9.5
F0073,F0073-P02,pearl_millet,0.515,8055.0,12796.0,25.8
F0073,F0073-P01,pearl_millet,0.11,1720.0,2733.0,5.5
F0074,F0074-P02,pearl_millet,1.86,29091.0,46215.0,93.0
F0074,F0074-P01,groundnut,0.093,4683.0,9366.0,7.9
F0075,F0075-P01,pearl_millet,0.919,14374.0,22834.0,46.0
F0076,F0076-P01,pearl_millet,0.895,13998.0,22238.0,44.8
F0077,F0077-P01,maize,0.118,3086.0,5217.0,7.7
F0078,F0078-P03,maize,3.58,93629.0,158288.0,232.7
F0079,F0079-P02,maize,0.453,11848.0,20029.0,29.4
F0080,F0080-P02,maize,1.809,47312.0,79984.0,117.6
F0081,F0081-P01,pearl_millet,0.267,4176.0,6634.0,13.4
F0082,F0082-P02,maize,0.245,6408.0,10833.0,15.9
F0082,F0082-P01,pigeon_pea,0.196,4853.0,8255.0,10.8
F0083,F0083-P01,soybean,0.708,13366.0,26732.0,31.9
F0084,F0084-P02,maize,2.692,70405.0,119026.0,175.0
F0085,F0085-P02,maize,2.426,63448.0,107265.0,157.7
F0086,F0086-P02,groundnut,0.206,10374.0,20747.0,17.5
F0089,F0089-P01,pearl_millet,0.324,5068.0,8050.0,16.2
F0090,F0090-P02,maize,3.329,87065.0,147190.0,216.4
F0091,F0091-P01,soybean,0.59,11139.0,22277.0,26.5
F0092,F0092-P02,pigeon_pea,1.999,49500.0,84193.0,109.9
F0093,F0093-P01,pearl_millet,0.648,10135.0,16101.0,32.4
F0094,F0094-P01,cotton,1.125,36343.0,72686.0,123.8
