farmer_id,plot_id,crop,area_ha,net_return_c2,budget_cost_a2fl,cash_net
F0001,F0001-P03,onion,3.466,86775.0,553517.0,258775.0
F0003,F0003-P01,rice,0.071,-862.0,3963.0,476.0
F0003,F0003-P02,rice,0.413,-5014.0,23050.0,2770.0
F0004,F0004-P01,maize,0.149,2572.0,9333.0,4873.0
F0004,F0004-P02,maize,0.364,6284.0,22799.0,11903.0
F0005,F0005-P01,soybean,0.636,-6626.0,34164.0,3669.0
F0005,F0005-P02,onion,0.239,5984.0,38168.0,17844.0
F0006,F0006-P01,maize,0.572,9875.0,35827.0,18705.0
F0007,F0007-P02,maize,1.66,28660.0,103974.0,54285.0
F0010,F0010-P01,maize,0.36,141.0,17227.0,6701.0
F0012,F0012-P02,maize,0.2,3453.0,12527.0,6540.0
F0013,F0013-P01,maize,0.682,268.0,32636.0,12695.0
F0015,F0015-P02,soybean,0.162,-1688.0,8702.0,935.0
F0017,F0017-P02,onion,2.353,250212.0,165839.0,305486.0
F0017,F0017-P03,onion,3.55,377497.0,250204.0,460890.0
F0017,F0017-P05,onion,3.281,348893.0,231245.0,425966.0
F0018,F0018-P01,maize,0.948,373.0,45365.0,17646.0
F0018,F0018-P02,onion,0.175,18609.0,12334.0,22720.0
F0019,F0019-P01,rice,0.75,-9105.0,41858.0,5030.0
F0020,F0020-P01,maize,1.715,674.0,82068.0,31923.0
F0020,F0020-P02,maize,0.541,213.0,25888.0,10070.0
F0025,F0025-P01,maize,0.056,22.0,2680.0,1042.0
F0025,F0025-P02,maize,0.25,98.0,11963.0,4654.0
F0027,F0027-P01,maize,2.464,42540.0,154333.0,80577.0
F0027,F0027-P03,maize,0.786,13570.0,49231.0,25704.0
F0030,F0030-P01,maize,0.551,9513.0,34512.0,18019.0
F0030,F0030-P02,maize,0.268,4627.0,16786.0,8764.0
F0031,F0031-P01,maize,0.326,128.0,15600.0,6068.0
F0031,F0031-P02,maize,0.524,206.0,25075.0,9754.0
F0031,F0031-P03,maize,0.85,334.0,40675.0,15822.0
F0033,F0033-P01,maize,0.226,3902.0,14156.0,7391.0
F0035,F0035-P01,rice,0.421,-5111.0,23496.0,2824.0
F0035,F0035-P02,rice,0.249,-3023.0,13897.0,1670.0
F0037,F0037-P02,groundnut,0.245,16334.0,25234.0,25984.0
F0038,F0038-P01,pigeon_pea,0.754,20467.0,23664.0,29573.0
F0038,F0038-P02,onion,3.141,334005.0,221378.0,407791.0
F0039,F0039-P01,maize,0.502,8667.0,31443.0,16416.0
F0040,F0040-P03,soybean,1.949,-20306.0,104694.0,11244.0
F0042,F0042-P01,maize,0.315,5438.0,19730.0,10301.0
F0043,F0043-P01,onion,0.269,6735.0,42959.0,20084.0
F0045,F0045-P01,soybean,0.324,-3376.0,17404.0,1869.0
F0047,F0047-P02,maize,0.215,3712.0,13467.0,7031.0
F0048,F0048-P02,rice,0.162,-1967.0,9041.0,1087.0
F0049,F0049-P01,soybean,0.983,-10242.0,52804.0,5671.0
F0050,F0050-P01,maize,0.848,333.0,40579.0,15785.0
F0050,F0050-P02,maize,0.052,20.0,2488.0,968.0
F0050,F0050-P03,onion,0.173,18396.0,12193.0,22460.0
F0051,F0051-P01,maize,0.675,265.0,32301.0,12564.0
F0055,F0055-P01,maize,0.412,162.0,19715.0,7669.0
F0056,F0056-P02,groundnut,0.087,5800.0,8960.0,9227.0
F0062,F0062-P01,sorghum,0.598,3251.0,18915.0,9400.0
F0064,F0064-P01,rice,1.05,-12747.0,58600.0,7043.0
F0064,F0064-P02,rice,2.003,-24316.0,111787.0,13435.0
F0066,F0066-P01,rice,0.449,-5451.0,25059.0,3012.0
F0068,F0068-P01,onion,0.742,78902.0,52296.0,96333.0
F0068,F0068-P02,sorghum,0.722,3925.0,22838.0,11349.0
F0068,F0068-P03,onion,0.125,13292.0,8810.0,16229.0
F0070,F0070-P01,maize,0.858,337.0,41058.0,15971.0
F0071,F0071-P01,maize,1.634,28211.0,102346.0,53435.0
F0072,F0072-P01,sorghum,0.093,506.0,2942.0,1462.0
F0072,F0072-P02,onion,0.211,22437.0,14871.0,27394.0
F0074,F0074-P01,groundnut,0.093,6200.0,9578.0,9863.0
F0074,F0074-P02,rice,1.86,-22580.0,103807.0,12475.0
F0077,F0077-P01,maize,0.118,2037.0,7391.0,3859.0
F0077,F0077-P02,maize,0.104,1796.0,6514.0,3401.0
F0078,F0078-P01,maize,1.229,483.0,58811.0,22877.0
F0078,F0078-P02,maize,0.904,355.0,43259.0,16827.0
F0078,F0078-P03,maize,3.58,1407.0,171314.0,66638.0
F0079,F0079-P02,onion,0.453,48171.0,31927.0,58812.0
F0080,F0080-P01,onion,0.163,4081.0,26031.0,12170.0
F0080,F0080-P02,soybean,1.809,-18848.0,97174.0,10436.0
F0082,F0082-P02,onion,0.245,26053.0,17268.0,31808.0
F0083,F0083-P01,rice,0.708,-8595.0,39513.0,4749.0
F0084,F0084-P01,maize,1.727,29816.0,108171.0,56476.0
F0084,F0084-P02,maize,2.692,46477.0,168613.0,88033.0
F0085,F0085-P01,groundnut,0.7,46669.0,72096.0,74239.0
F0086,F0086-P02,maize,0.206,3557.0,12903.0,6737.0
F0089,F0089-P01,maize,0.324,5594.0,20294.0,10595.0
F0090,F0090-P01,rice,0.169,-2052.0,9432.0,1134.0
F0090,F0090-P02,rice,3.329,-40413.0,185791.0,22328.0
F0091,F0091-P01,soybean,0.59,-6147.0,31693.0,3404.0
F0092,F0092-P02,rice,1.999,-24267.0,111564.0,13408.0
F0093,F0093-P01,maize,0.648,11188.0,40587.0,21191.0
F0094,F0094-P01,rice,1.125,-13657.0,62786.0,7546.0
F0097,F0097-P02,soybean,5.073,-52855.0,272506.0,29267.0
F0102,F0102-P01,rice,0.063,-765.0,3516.0,423.0
F0103,F0103-P01,maize,0.915,360.0,43785.0,17032.0
F0105,F0105-P04,soybean,2.488,-25922.0,133648.0,14354.0
F0106,F0106-P01,onion,0.586,62314.0,41301.0,76079.0
F0107,F0107-P02,maize,0.658,11360.0,41214.0,21518.0
F0108,F0108-P01,rice,0.76,-9226.0,42416.0,5098.0
F0108,F0108-P03,rice,1.554,-18865.0,86729.0,10423.0
F0109,F0109-P02,maize,0.626,10808.0,39210.0,20471.0
F0110,F0110-P01,sorghum,1.363,7409.0,43113.0,21425.0
F0110,F0110-P02,maize,0.201,79.0,9618.0,3741.0
F0110,F0110-P03,sorghum,0.185,1006.0,5852.0,2908.0
F0111,F0111-P02,maize,0.656,11326.0,41089.0,21452.0
F0114,F0114-P01,maize,0.584,10083.0,36579.0,19098.0
F0115,F0115-P02,maize,1.005,17351.0,62948.0,32865.0
F0115,F0115-P03,maize,1.738,30006.0,108860.0,56836.0
F0116,F0116-P02,rice,0.702,-8522.0,39179.0,4708.0
F0117,F0117-P02,rice,1.56,-18938.0,87064.0,10463.0
F0119,F0119-P01,soybean,0.298,-3105.0,16008.0,1719.0
F0120,F0120-P01,rice,0.239,-2901.0,13339.0,1603.0
F0121,F0121-P01,soybean,0.919,-9575.0,49366.0,5302.0
F0122,F0122-P01,maize,0.277,4782.0,17350.0,9058.0
F0123,F0123-P01,maize,0.987,388.0,47231.0,18372.0
F0126,F0126-P01,maize,1.9,747.0,90921.0,35367.0
F0126,F0126-P02,maize,5.549,2181.0,265536.0,103289.0
F0127,F0127-P01,maize,0.365,143.0,17466.0,6794.0
F0128,F0128-P01,rice,0.263,-3193.0,14678.0,1764.0
F0128,F0128-P02,rice,2.466,-29937.0,137627.0,16540.0
F0128,F0128-P03,rice,0.279,-3387.0,15571.0,1871.0
F0129,F0129-P01,onion,0.43,45725.0,30306.0,55826.0
F0129,F0129-P02,pigeon_pea,1.332,36156.0,41803.0,52243.0
F0130,F0130-P01,maize,0.225,3885.0,14093.0,7358.0
F0131,F0131-P01,rice,0.04,-486.0,2232.0,268.0
F0131,F0131-P02,rice,0.772,-9372.0,43085.0,5178.0
F0133,F0133-P01,onion,0.314,7861.0,50145.0,23444.0
F0134,F0134-P01,rice,0.923,-11205.0,51513.0,6191.0
F0135,F0135-P01,groundnut,0.243,16201.0,25028.0,25772.0
F0136,F0136-P02,maize,0.055,950.0,3445.0,1799.0
F0138,F0138-P01,rice,0.725,-8801.0,40462.0,4863.0
F0138,F0138-P03,groundnut,6.082,405485.0,626410.0,645030.0
F0138,F0138-P05,rice,3.152,-38264.0,175913.0,21141.0
F0139,F0139-P02,maize,0.272,4696.0,17037.0,8895.0
F0141,F0141-P01,maize,0.843,331.0,40340.0,15692.0
F0141,F0141-P02,sorghum,0.123,669.0,3891.0,1933.0
F0142,F0142-P01,maize,0.89,350.0,42589.0,16566.0
F0145,F0145-P01,onion,0.088,9358.0,6202.0,11425.0
F0145,F0145-P02,sorghum,0.835,4539.0,26412.0,13125.0
F0146,F0146-P01,maize,0.047,811.0,2944.0,1537.0
F0147,F0147-P02,onion,0.239,25415.0,16845.0,31029.0
F0148,F0148-P01,groundnut,3.06,204009.0,315162.0,324530.0
F0149,F0149-P01,maize,0.926,15987.0,58000.0,30282.0
F0150,F0150-P02,maize,0.439,173.0,21007.0,8172.0
F0150,F0150-P03,onion,0.738,78477.0,52014.0,95813.0
F0152,F0152-P03,soybean,2.36,-24589.0,126772.0,13615.0
F0153,F0153-P03,groundnut,0.558,37202.0,57471.0,59179.0
F0154,F0154-P01,maize,2.265,39105.0,141868.0,74070.0
F0156,F0156-P01,maize,0.489,192.0,23400.0,9102.0
F0156,F0156-P02,onion,1.288,136962.0,90778.0,167219.0
F0156,F0156-P03,maize,1.67,656.0,79915.0,31085.0
F0158,F0158-P01,groundnut,0.181,12067.0,18642.0,19196.0
F0158,F0158-P02,rice,3.487,-42331.0,194609.0,23388.0
F0159,F0159-P01,rice,1.784,-21657.0,99565.0,11966.0
F0160,F0160-P01,rice,0.998,-12115.0,55698.0,6694.0
F0160,F0160-P03,groundnut,0.541,36068.0,55720.0,57376.0
F0162,F0162-P01,rice,1.342,-16292.0,74897.0,9001.0
F0163,F0163-P01,rice,0.24,-2914.0,13394.0,1610.0
F0166,F0166-P01,rice,0.388,-4710.0,21654.0,2602.0
F0167,F0167-P01,rice,0.778,-9445.0,43420.0,5218.0
F0169,F0169-P01,soybean,0.375,-3907.0,20144.0,2163.0
F0169,F0169-P02,soybean,0.025,-260.0,1343.0,144.0
F0175,F0175-P01,maize,1.945,764.0,93074.0,36204.0
F0177,F0177-P01,pigeon_pea,1.952,52986.0,61262.0,76560.0
F0178,F0178-P01,pigeon_pea,1.943,52742.0,60979.0,76207.0
