farmer_id,plot_id,crop,area_ha,net_return_c2,budget_cost_a2fl,labour_pd
F0001,F0001-P03,onion,3.466,86775.0,553517.0,595.8
F0003,F0003-P01,groundnut,0.071,4734.0,7313.0,12.3
F0004,F0004-P01,maize,0.149,2572.0,9333.0,8.3
F0005,F0005-P01,soybean,0.636,-6626.0,34164.0,35.4
F0006,F0006-P01,maize,0.572,9875.0,35827.0,32.0
F0007,F0007-P02,maize,1.66,28660.0,103974.0,93.0
F0010,F0010-P01,maize,0.36,141.0,17227.0,19.1
F0012,F0012-P01,maize,0.177,3056.0,11086.0,9.9
F0013,F0013-P01,maize,0.682,268.0,32636.0,36.1
F0015,F0015-P02,soybean,0.162,-1688.0,8702.0,9.0
F0017,F0017-P01,maize,1.501,590.0,71827.0,79.6
F0018,F0018-P01,cotton,0.948,10716.0,55084.0,90.1
F0019,F0019-P01,rice,0.75,-9105.0,41858.0,59.9
F0020,F0020-P01,maize,1.715,674.0,82068.0,90.9
F0025,F0025-P01,maize,0.056,22.0,2680.0,3.0
F0027,F0027-P01,maize,2.464,42540.0,154333.0,138.0
F0030,F0030-P01,maize,0.551,9513.0,34512.0,30.9
F0031,F0031-P01,maize,0.326,128.0,15600.0,17.3
F0033,F0033-P01,maize,0.226,3902.0,14156.0,12.7
F0035,F0035-P01,rice,0.421,-5111.0,23496.0,33.6
F0037,F0037-P01,rice,0.368,-4467.0,20538.0,29.4
F0038,F0038-P01,onion,0.754,80178.0,53142.0,81.7
F0039,F0039-P01,maize,0.502,8667.0,31443.0,28.1
F0040,F0040-P03,soybean,1.949,-20306.0,104694.0,108.4
F0041,F0041-P01,groundnut,0.042,1683.0,2856.0,1.5
F0042,F0042-P01,maize,0.315,5438.0,19730.0,17.6
F0043,F0043-P01,onion,0.269,6735.0,42959.0,46.2
F0045,F0045-P01,soybean,0.324,-3376.0,17404.0,18.0
F0047,F0047-P02,maize,0.215,3712.0,13467.0,12.0
F0048,F0048-P01,rice,0.046,-558.0,2567.0,3.7
F0049,F0049-P01,soybean,0.983,-10242.0,52804.0,54.7
F0050,F0050-P01,maize,0.848,333.0,40579.0,44.9
F0051,F0051-P01,maize,0.675,265.0,32301.0,35.8
F0055,F0055-P01,maize,0.412,162.0,19715.0,21.8
F0056,F0056-P02,groundnut,0.087,5800.0,8960.0,15.1
F0062,F0062-P01,sorghum,0.598,3251.0,18915.0,31.1
F0064,F0064-P01,rice,1.05,-12747.0,58600.0,83.9
F0066,F0066-P01,rice,0.449,-5451.0,25059.0,35.9
F0068,F0068-P01,onion,0.742,78902.0,52296.0,80.4
F0070,F0070-P01,maize,0.858,337.0,41058.0,45.5
F0071,F0071-P01,maize,1.634,28211.0,102346.0,91.5
F0072,F0072-P01,sorghum,0.093,506.0,2942.0,4.8
F0074,F0074-P01,groundnut,0.093,6200.0,9578.0,16.1
F0077,F0077-P01,maize,0.118,2037.0,7391.0,6.6
F0078,F0078-P01,maize,1.229,483.0,58811.0,65.1
F0079,F0079-P02,onion,0.453,48171.0,31927.0,49.1
F0080,F0080-P01,onion,0.163,4081.0,26031.0,28.0
F0082,F0082-P01,onion,0.196,20842.0,13814.0,21.2
F0083,F0083-P01,rice,0.708,-8595.0,39513.0,56.6
F0084,F0084-P01,maize,1.727,29816.0,108171.0,96.7
F0085,F0085-P01,groundnut,0.7,46669.0,72096.0,121.1
F0086,F0086-P02,maize,0.206,3557.0,12903.0,11.5
F0089,F0089-P01,maize,0.324,5594.0,20294.0,18.1
F0090,F0090-P01,rice,0.169,-2052.0,9432.0,13.5
F0091,F0091-P01,soybean,0.59,-6147.0,31693.0,32.8
F0092,F0092-P02,rice,1.999,-24267.0,111564.0,159.7
F0093,F0093-P01,maize,0.648,11188.0,40587.0,36.3
F0094,F0094-P01,rice,1.125,-13657.0,62786.0,89.9
F0097,F0097-P02,soybean,5.073,-52855.0,272506.0,282.1
F0102,F0102-P01,rice,0.063,-765.0,3516.0,5.0
F0103,F0103-P01,maize,0.915,360.0,43785.0,48.5
F0105,F0105-P04,soybean,2.488,-25922.0,133648.0,138.3
F0106,F0106-P01,onion,0.586,62314.0,41301.0,63.5
F0107,F0107-P02,maize,0.658,11360.0,41214.0,36.8
F0108,F0108-P01,rice,0.76,-9226.0,42416.0,60.7
F0109,F0109-P02,maize,0.626,10808.0,39210.0,35.1
F0110,F0110-P01,sorghum,1.363,7409.0,43113.0,70.9
F0111,F0111-P02,maize,0.656,11326.0,41089.0,36.7
F0114,F0114-P01,maize,0.584,10083.0,36579.0,32.7
F0115,F0115-P02,maize,1.005,17351.0,62948.0,56.3
F0116,F0116-P01,groundnut,0.249,16601.0,25646.0,43.1
F0117,F0117-P01,groundnut,0.438,29201.0,45111.0,75.8
F0119,F0119-P01,soybean,0.298,-3105.0,16008.0,16.6
F0120,F0120-P01,rice,0.239,-2901.0,13339.0,19.1
F0121,F0121-P01,soybean,0.919,-9575.0,49366.0,51.1
F0122,F0122-P01,maize,0.277,4782.0,17350.0,15.5
F0123,F0123-P01,maize,0.987,388.0,47231.0,52.3
F0126,F0126-P01,maize,1.9,747.0,90921.0,100.7
F0127,F0127-P01,maize,0.365,143.0,17466.0,19.3
F0128,F0128-P01,groundnut,0.263,17534.0,27087.0,45.5
F0129,F0129-P01,onion,0.43,45725.0,30306.0,46.6
F0130,F0130-P01,maize,0.225,3885.0,14093.0,12.6
F0131,F0131-P01,rice,0.04,-486.0,2232.0,3.2
F0133,F0133-P01,onion,0.314,7861.0,50145.0,54.0
F0134,F0134-P01,rice,0.923,-11205.0,51513.0,73.7
F0135,F0135-P01,groundnut,0.243,16201.0,25028.0,42.0
F0136,F0136-P02,maize,0.055,950.0,3445.0,3.1
F0138,F0138-P01,groundnut,0.725,48335.0,74671.0,125.4
F0139,F0139-P02,maize,0.272,4696.0,17037.0,15.2
F0141,F0141-P01,maize,0.843,331.0,40340.0,44.7
F0142,F0142-P01,maize,0.89,350.0,42589.0,47.2
F0145,F0145-P01,onion,0.088,9358.0,6202.0,9.5
F0146,F0146-P01,maize,0.047,811.0,2944.0,2.6
F0147,F0147-P01,maize,0.377,148.0,18041.0,20.0
F0148,F0148-P01,groundnut,3.06,204009.0,315162.0,529.4
