metric,scenario_a,scenario_b,b_minus_a
affirmative_consent_coverage,1.0,0.9838187702265372,-0.016181229773462813
all_farmer_abs_cash_gini,0.8647169535448647,0.8730692803322466,0.008352326787381958
all_farmer_per_ha_gini,0.7412712106521944,0.7774015545820878,0.03613034392989345
farmers_with_realised,273,239,-34
farmers_without_realised,227,261,34
final_plan_projected_cash,12089277,9739272,-2350005
final_realised_area_ha,295.484,255.61,-39.87399999999997
hhi_crop_share,0.1894,0.1912,0.001799999999999996
max_crop_share,0.3159,0.3133,-0.002599999999999991
not_realised_plots,561,607,46
participant_only_per_ha_gini,0.526137748447244,0.534312875694744,0.008175127247499914
realisation_rate_offered,0.9186351706036745,0.7979002624671916,-0.12073490813648291
realised_plots,350,304,-46
