scenario,farmer_id,plot_id,action,selection_scope,reference_response,reference_crop,candidate_farmer_count,selected_farmer_quota,farmer_rank,candidate_count,deterministic_rank
B,F0006,F0006-P01,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,30
B,F0020,F0020-P01,REJECT,OFFER_ROW,ACCEPT,sorghum,,,,323,15
B,F0037,F0037-P01,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,18
B,F0040,F0040-P03,NO_RESPONSE,OFFER_ROW,ACCEPT,soybean,,,,323,45
B,F0041,F0041-P01,REJECT,OFFER_ROW,ACCEPT,groundnut,,,,323,31
B,F0050,F0050-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,7
B,F0071,F0071-P01,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,11
B,F0078,F0078-P03,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,1
B,F0086,F0086-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,10
B,F0091,F0091-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,soybean,,,,323,44
B,F0102,F0102-P01,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,27
B,F0107,F0107-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,8
B,F0109,F0109-P02,NO_RESPONSE,OFFER_ROW,ACCEPT,maize,,,,323,34
B,F0115,F0115-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,25
B,F0115,F0115-P03,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,2
B,F0127,F0127-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,sorghum,,,,323,39
B,F0129,F0129-P01,REJECT,OFFER_ROW,ACCEPT,onion,,,,323,29
B,F0129,F0129-P02,REJECT,OFFER_ROW,ACCEPT,pigeon_pea,,,,323,28
B,F0145,F0145-P01,REJECT,OFFER_ROW,ACCEPT,sorghum,,,,323,16
B,F0166,F0166-P01,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,6
B,F0169,F0169-P02,REJECT,OFFER_ROW,ACCEPT,onion,,,,323,14
B,F0201,F0201-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,onion,,,,323,47
B,F0205,F0205-P02,REJECT,OFFER_ROW,ACCEPT,sorghum,,,,323,22
B,F0207,F0207-P02,NO_RESPONSE,OFFER_ROW,ACCEPT,rice,,,,323,40
B,F0212,F0212-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,pigeon_pea,,,,323,43
B,F0222,F0222-P04,REJECT,OFFER_ROW,ACCEPT,groundnut,,,,323,26
B,F0245,F0245-P02,NO_RESPONSE,OFFER_ROW,ACCEPT,maize,,,,323,41
B,F0245,F0245-P03,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,13
B,F0247,F0247-P02,NO_RESPONSE,OFFER_ROW,ACCEPT,rice,,,,323,42
B,F0252,F0252-P01,REJECT,OFFER_ROW,ACCEPT,soybean,,,,323,9
B,F0254,F0254-P01,WITHDRAW,FARMER_CYCLE,ACCEPT,soybean,263,7,5,,
B,F0280,F0280-P02,REJECT,OFFER_ROW,ACCEPT,soybean,,,,323,21
B,F0286,F0286-P02,WITHDRAW,FARMER_CYCLE,ACCEPT,onion,263,7,7,,
B,F0291,F0291-P02,REJECT,OFFER_ROW,ACCEPT,onion,,,,323,19
B,F0313,F0313-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,sorghum,,,,323,38
B,F0314,F0314-P01,WITHDRAW,FARMER_CYCLE,ACCEPT,maize,263,7,6,,
B,F0316,F0316-P01,WITHDRAW,FARMER_CYCLE,ACCEPT,rice,263,7,3,,
B,F0316,F0316-P02,WITHDRAW,FARMER_CYCLE,ACCEPT,rice,263,7,3,,
B,F0318,F0318-P03,REJECT,OFFER_ROW,ACCEPT,groundnut,,,,323,12
B,F0323,F0323-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,soybean,,,,323,35
B,F0334,F0334-P02,WITHDRAW,FARMER_CYCLE,ACCEPT,maize,263,7,2,,
B,F0354,F0354-P01,REJECT,OFFER_ROW,ACCEPT,onion,,,,323,23
B,F0356,F0356-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,4
B,F0374,F0374-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,maize,,,,323,46
B,F0375,F0375-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,20
B,F0381,F0381-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,cotton,,,,323,33
B,F0392,F0392-P01,WITHDRAW,FARMER_CYCLE,ACCEPT,maize,263,7,1,,
B,F0394,F0394-P02,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,3
B,F0398,F0398-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,onion,,,,323,48
B,F0400,F0400-P02,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,5
B,F0440,F0440-P01,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,32
B,F0443,F0443-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,onion,,,,323,36
B,F0448,F0448-P01,NO_RESPONSE,OFFER_ROW,ACCEPT,maize,,,,323,37
B,F0488,F0488-P02,REJECT,OFFER_ROW,ACCEPT,rice,,,,323,24
B,F0492,F0492-P02,REJECT,OFFER_ROW,ACCEPT,maize,,,,323,17
B,F0499,F0499-P02,WITHDRAW,FARMER_CYCLE,ACCEPT,soybean,263,7,4,,
