scenario,farmer_id,plot_id,revised_crop,decision,candidate_count,deterministic_rank
A,F0017,F0017-P03,pigeon_pea,ACCEPT,19,1
A,F0025,F0025-P01,sorghum,ACCEPT,19,2
A,F0031,F0031-P02,sorghum,ACCEPT,19,3
A,F0051,F0051-P01,maize,ACCEPT,19,4
A,F0085,F0085-P01,rice,ACCEPT,19,5
A,F0103,F0103-P01,sorghum,ACCEPT,19,6
A,F0133,F0133-P01,soybean,ACCEPT,19,7
A,F0175,F0175-P01,maize,ACCEPT,19,8
A,F0178,F0178-P01,cotton,ACCEPT,19,9
A,F0179,F0179-P02,onion,ACCEPT,19,10
A,F0193,F0193-P01,sorghum,ACCEPT,19,11
A,F0234,F0234-P01,pigeon_pea,ACCEPT,19,12
A,F0281,F0281-P01,groundnut,ACCEPT,19,13
A,F0282,F0282-P01,groundnut,ACCEPT,19,14
A,F0322,F0322-P02,groundnut,ACCEPT,19,15
A,F0365,F0365-P03,soybean,ACCEPT,19,16
A,F0413,F0413-P03,groundnut,ACCEPT,19,17
A,F0423,F0423-P01,maize,ACCEPT,19,18
A,F0496,F0496-P01,sorghum,ACCEPT,19,19
B,F0017,F0017-P03,pigeon_pea,ACCEPT,34,6
B,F0020,F0020-P01,maize,ACCEPT,34,16
B,F0025,F0025-P01,sorghum,ACCEPT,34,22
B,F0031,F0031-P02,sorghum,ACCEPT,34,29
B,F0050,F0050-P02,sorghum,ACCEPT,34,7
B,F0051,F0051-P01,maize,ACCEPT,34,26
B,F0078,F0078-P03,sorghum,REJECT,34,3
B,F0085,F0085-P01,rice,ACCEPT,34,14
B,F0103,F0103-P01,sorghum,ACCEPT,34,25
B,F0129,F0129-P01,pigeon_pea,ACCEPT,34,32
B,F0129,F0129-P02,maize,ACCEPT,34,33
B,F0133,F0133-P01,soybean,ACCEPT,34,24
B,F0145,F0145-P01,onion,ACCEPT,34,11
B,F0169,F0169-P02,soybean,ACCEPT,34,30
B,F0175,F0175-P01,maize,ACCEPT,34,34
B,F0178,F0178-P01,cotton,ACCEPT,34,28
B,F0179,F0179-P02,onion,ACCEPT,34,23
B,F0193,F0193-P01,sorghum,ACCEPT,34,27
B,F0205,F0205-P02,maize,ACCEPT,34,8
B,F0222,F0222-P04,rice,REJECT,34,2
B,F0234,F0234-P01,pigeon_pea,ACCEPT,34,15
B,F0280,F0280-P02,maize,ACCEPT,34,17
B,F0281,F0281-P01,groundnut,REJECT,34,1
B,F0282,F0282-P01,groundnut,ACCEPT,34,13
B,F0291,F0291-P02,soybean,NO_RESPONSE,34,5
B,F0318,F0318-P03,rice,ACCEPT,34,31
B,F0322,F0322-P02,groundnut,ACCEPT,34,19
B,F0354,F0354-P01,pigeon_pea,NO_RESPONSE,34,4
B,F0365,F0365-P03,soybean,ACCEPT,34,20
B,F0413,F0413-P03,groundnut,ACCEPT,34,12
B,F0423,F0423-P01,maize,ACCEPT,34,9
B,F0440,F0440-P01,sorghum,ACCEPT,34,18
B,F0492,F0492-P02,sorghum,ACCEPT,34,10
B,F0496,F0496-P01,sorghum,ACCEPT,34,21
