seed,profile,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,consent_coverage_final,renewed_prompts,withdrawn_farmers,accept_count,reject_count,modify_count,no_response_count,withdraw_count
192338,PRIMARY,Optimal,True,,12.508657600003062,15546253.0,11790321.0,14230948.0,13040311.0,0.8388073319017773,1.0,74,12,316,40,16,18,14
192338,S1,Optimal,True,,12.337340300000506,15546253.0,10291062.0,13518187.0,11575264.0,0.744569382731646,1.0,105,12,273,53,35,29,14
192338,S2,Optimal,True,,12.743215199996484,15546253.0,13098243.0,14636916.0,13631762.0,0.8768519333887079,1.0,39,12,366,16,4,4,14
196157,PRIMARY,Infeasible,False,proposed.reopt_phase3,10.287327900005039,,,,,,,,,,,,,
196157,S1,Infeasible,False,proposed.reopt_phase3,10.3058704000141,,,,,,,,,,,,,
196157,S2,Infeasible,False,proposed.reopt_phase3,10.265540099993814,,,,,,,,,,,,,
200768,PRIMARY,Optimal,True,,12.42561070001102,13630319.0,11635891.0,12517039.0,12398110.0,0.9095979338414604,1.0,55,8,318,27,12,9,9
200768,S1,Optimal,True,,11.92531200000667,13630319.0,9608683.0,11610369.0,11237395.0,0.8244410860816977,1.0,91,8,266,51,32,17,9
200768,S2,Optimal,True,,11.844582199992146,13630319.0,13154743.0,13545552.0,13526500.0,0.9923832303557972,1.0,30,8,357,4,2,3,9
222335,PRIMARY,Optimal,True,,24.347568400000455,11534841.0,10274913.0,11099604.0,11036810.0,0.9568237654944702,1.0,48,4,365,23,16,11,6
222335,S1,Optimal,True,,29.701719100004993,11534841.0,8807694.0,10579190.0,9795496.0,0.8492094516083923,1.0,98,4,302,49,38,26,6
222335,S2,Optimal,True,,13.885958700004267,11534841.0,10732073.0,11221657.0,11207217.0,0.971597007709079,1.0,26,4,397,10,6,2,6
262122,PRIMARY,Optimal,True,,13.239471200009575,13082045.0,10611409.0,12009112.0,11616402.0,0.8879652990033287,1.0,56,5,333,21,18,12,6
262122,S1,Optimal,True,,14.7011993000051,13082045.0,9108245.0,11281784.0,10291221.0,0.7866676043386183,1.0,102,5,268,49,40,27,6
262122,S2,Optimal,True,,14.925109100004192,13082045.0,12063646.0,12973644.0,12779119.0,0.9768441401936777,1.0,32,5,362,8,8,6,6
288572,PRIMARY,Optimal,True,,13.464615700009745,13650763.0,10124938.0,11350602.0,11042372.0,0.8089197651442633,1.0,58,9,314,24,18,11,15
288572,S1,Optimal,True,,13.58319649999612,13650763.0,8049888.0,10897510.0,10040585.0,0.735532878272079,1.0,104,9,252,43,48,24,15
288572,S2,Optimal,True,,13.332961000007344,13650763.0,11440934.0,11753561.0,11715344.0,0.8582189874661219,1.0,38,9,345,8,10,4,15
320290,PRIMARY,Optimal,True,,13.084870699996827,13411971.0,11223008.0,12852555.0,12500983.0,0.9320765009110145,1.0,62,4,305,18,26,13,4
320290,S1,Optimal,True,,13.402794199995697,13411971.0,8589730.0,11552308.0,10213822.0,0.7615451897413139,1.0,106,4,245,43,47,27,4
320290,S2,Optimal,True,,13.277404100022977,13411971.0,12538338.0,13536149.0,13511117.0,1.007392351206247,1.0,42,4,337,8,13,4,4
321611,PRIMARY,Optimal,True,,51.29858060000697,12871171.0,10211148.0,11405320.0,11256622.0,0.8745608305569089,1.0,75,6,360,32,24,17,8
321611,S1,Optimal,True,,40.53717840000172,12871171.0,8542134.0,10777940.0,10132356.0,0.7872132224799127,1.0,119,6,296,55,54,28,8
321611,S2,Optimal,True,,49.81378460000269,12871171.0,11781809.0,11942194.0,11934205.0,0.927204292445497,1.0,31,6,419,7,5,2,8
331297,PRIMARY,Optimal,True,,15.229219800006831,14555507.0,11681842.0,13981819.0,13301649.0,0.9138567966062604,1.0,83,4,346,20,33,14,6
331297,S1,Optimal,True,,14.06565460001002,14555507.0,9222789.0,12895935.0,11936914.0,0.8200960639845799,1.0,123,4,281,49,56,27,6
331297,S2,Infeasible,False,proposed.reopt_phase3,11.691087499988498,,,,,,,,,,,,,
385101,PRIMARY,Optimal,True,,15.410113199992338,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,1.0,67,8,335,31,26,15,11
385101,S1,Optimal,True,,14.520296599977883,13497163.0,10166207.0,12733400.0,11899387.0,0.8816213451671289,1.0,104,8,281,53,44,29,11
385101,S2,Optimal,True,,14.535991100012325,13497163.0,13041361.0,13439678.0,13427555.0,0.994842768069112,1.0,29,8,385,9,9,4,11
449132,PRIMARY,Optimal,True,,14.444832600012887,12906260.0,10000947.0,11260117.0,11132527.0,0.8625680096325349,1.0,63,4,341,30,21,8,4
449132,S1,Optimal,True,,13.893246499996167,12906260.0,8602427.0,10616670.0,10196336.0,0.7900302643833302,1.0,94,4,296,49,38,17,4
449132,S2,Optimal,True,,14.188601799978642,12906260.0,12159955.0,12592901.0,12555113.0,0.9727925053423687,1.0,37,4,379,12,8,1,4
496928,PRIMARY,Infeasible,False,proposed.reopt_phase3,11.639262899989262,,,,,,,,,,,,,
496928,S1,Infeasible,False,proposed.reopt_phase3,12.198560999997426,,,,,,,,,,,,,
496928,S2,Infeasible,False,proposed.reopt_phase3,12.10218420001911,,,,,,,,,,,,,
514942,PRIMARY,Optimal,True,,12.973244199994951,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,1.0,63,8,345,23,17,12,9
514942,S1,Optimal,True,,12.944684600020992,13128152.0,8396837.0,10438795.0,9605536.0,0.7316746484958432,1.0,101,8,284,54,40,19,9
514942,S2,Optimal,True,,13.396641400002409,13128152.0,12332386.0,12894263.0,12866717.0,0.9800859252696038,1.0,36,8,381,6,6,4,9
52314,PRIMARY,Optimal,True,,26.931051699997624,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,1.0,65,9,346,31,25,11,12
52314,S1,Optimal,True,,12.849419700010912,12922898.0,7978704.0,10710576.0,9962153.0,0.7708915600819568,1.0,114,9,273,57,52,31,12
