profile,metric,analysis_scope,n,mean,sd,median,min,max
PRIMARY,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
PRIMARY,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
PRIMARY,recommended_revised_cash,optimal_only,26,12207736.73076923,1344680.9542051097,11666591.0,10096135.0,14603372.0
PRIMARY,final_realized_cash,optimal_only,26,11961110.307692308,1267604.0933540335,11517925.5,9866936.0,14341497.0
PRIMARY,final_vs_planned_ratio,optimal_only,26,0.8960488273600744,0.039264927753578836,0.8872859208628667,0.8089197651442633,0.971140387287876
PRIMARY,consent_coverage_final,optimal_only,26,1.0,0.0,1.0,1.0,1.0
PRIMARY,renewed_prompts,optimal_only,26,62.61538461538461,8.173503156306593,62.5,48.0,83.0
PRIMARY,withdrawn_farmers,optimal_only,26,5.3076923076923075,2.6346799542901715,4.5,1.0,12.0
PRIMARY,accept_count,optimal_only,26,329.65384615384613,18.2930419727115,332.0,290.0,365.0
PRIMARY,reject_count,optimal_only,26,27.576923076923077,5.783929992128722,27.0,18.0,40.0
PRIMARY,modify_count,optimal_only,26,20.346153846153847,4.963404538760126,20.5,11.0,33.0
PRIMARY,no_response_count,optimal_only,26,12.192307692307692,3.3588001520689588,11.5,7.0,23.0
PRIMARY,withdraw_count,optimal_only,26,6.8076923076923075,3.47585075363406,6.0,2.0,15.0
S1,planned_cash,optimal_only,27,13287565.629629629,1455129.526086758,13124941.0,11317399.0,16331308.0
S1,initial_realized_cash,optimal_only,27,8936708.407407407,972646.2566014373,8734799.0,6894138.0,10775461.0
S1,recommended_revised_cash,optimal_only,27,11302110.444444444,1326404.472713744,10977395.0,8896328.0,13518187.0
S1,final_realized_cash,optimal_only,27,10536837.777777778,1215182.8404217877,10213822.0,8151335.0,12713132.0
S1,final_vs_planned_ratio,optimal_only,27,0.7939242337870016,0.0501109986245961,0.7872132224799127,0.6860432363086432,0.8844900888071093
S1,consent_coverage_final,optimal_only,27,1.0,0.0,1.0,1.0,1.0
S1,renewed_prompts,optimal_only,27,102.85185185185185,8.84352741885144,103.0,89.0,123.0
S1,withdrawn_farmers,optimal_only,27,5.148148148148148,2.713268022481996,4.0,1.0,12.0
S1,accept_count,optimal_only,27,271.037037037037,17.1811199632295,273.0,230.0,302.0
S1,reject_count,optimal_only,27,51.74074074074074,6.340302059005564,52.0,35.0,67.0
S1,modify_count,optimal_only,27,41.48148148148148,6.8127164488994705,40.0,31.0,56.0
S1,no_response_count,optimal_only,27,24.703703703703702,5.172522185064628,25.0,17.0,35.0
S1,withdraw_count,optimal_only,27,6.592592592592593,3.5869341875892937,6.0,1.0,15.0
S2,planned_cash,optimal_only,25,13314128.16,1438959.316830329,13124941.0,11317399.0,16331308.0
S2,initial_realized_cash,optimal_only,25,12303055.36,1249253.7807114054,12217840.0,10114378.0,14672986.0
S2,recommended_revised_cash,optimal_only,25,12884668.88,1459084.0703389437,12644444.0,10524127.0,15707026.0
S2,final_realized_cash,optimal_only,25,12811318.12,1420469.290461088,12631228.0,10515394.0,15696325.0
S2,final_vs_planned_ratio,optimal_only,25,0.9625417814332061,0.03462015779188098,0.9698568256400361,0.8582189874661219,1.007392351206247
S2,consent_coverage_final,optimal_only,25,1.0,0.0,1.0,1.0,1.0
S2,renewed_prompts,optimal_only,25,34.12,4.710980082035301,34.0,26.0,46.0
S2,withdrawn_farmers,optimal_only,25,5.36,2.6751946969644407,5.0,1.0,12.0
S2,accept_count,optimal_only,25,368.44,21.132676120169922,368.0,323.0,419.0
S2,reject_count,optimal_only,25,9.6,2.9297326385411577,9.0,4.0,16.0
S2,modify_count,optimal_only,25,6.76,2.50466231922256,7.0,1.0,13.0
S2,no_response_count,optimal_only,25,4.04,2.009975124224178,4.0,1.0,10.0
S2,withdraw_count,optimal_only,25,6.84,3.5435387209210325,6.0,2.0,15.0
