seed,alpha,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,max_LPS,mean_HHI,median_HHI,n_active_crops,target_violations
192338,0.33,Optimal,True,,12.71238420001464,15546253.0,11790321.0,14007394.0,12820031.0,0.8246380011955292,0.33,0.0855,0.0682,8,0
192338,0.4,Optimal,True,,12.508657600003062,15546253.0,11790321.0,14230948.0,13040311.0,0.8388073319017773,0.3864,0.0966,0.0682,8,0
192338,0.5,Optimal,True,,13.211605499993311,15546253.0,11790321.0,14246069.0,13055432.0,0.8397799778506113,0.4428,0.105,0.0682,8,0
192338,0.6,Optimal,True,,12.566958500014152,15546253.0,11790321.0,14246069.0,13055432.0,0.8397799778506113,0.4428,0.105,0.0682,8,0
192338,1.0,Optimal,True,,12.075444600021001,15546253.0,11790321.0,14246069.0,13055432.0,0.8397799778506113,0.4428,0.105,0.0682,8,0
196157,0.33,Infeasible,False,proposed.reopt_phase3,10.311796399997547,,,,,,,,,,
196157,0.4,Infeasible,False,proposed.reopt_phase3,10.287327900005039,,,,,,,,,,
196157,0.5,Infeasible,False,proposed.reopt_phase3,10.288466000027256,,,,,,,,,,
196157,0.6,Infeasible,False,proposed.reopt_phase3,10.292744300008053,,,,,,,,,,
196157,1.0,Infeasible,False,proposed.reopt_phase3,10.453552399994805,,,,,,,,,,
200768,0.33,Optimal,True,,12.166952800005674,13630319.0,11635891.0,12506813.0,12381816.0,0.908402510608886,0.33,0.0697,0.0577,7,0
200768,0.4,Optimal,True,,12.42561070001102,13630319.0,11635891.0,12517039.0,12398110.0,0.9095979338414604,0.3997,0.079,0.0577,7,0
200768,0.5,Optimal,True,,11.73466119999648,13630319.0,11635891.0,12523723.0,12404794.0,0.9100883112126723,0.4637,0.0881,0.0577,7,0
200768,0.6,Optimal,True,,12.488962200004607,13630319.0,11635891.0,12529923.0,12410994.0,0.9105431795103255,0.5282,0.1404,0.068,8,0
200768,1.0,Optimal,True,,12.12806700001238,13630319.0,11635891.0,12541633.0,12422704.0,0.9114022936660543,0.633,0.1575,0.068,8,0
222335,0.33,Optimal,True,,38.08993799999007,11534841.0,10274913.0,11099704.0,10985061.0,0.9523374444433175,0.2127,0.0636,0.0614,7,0
222335,0.4,Optimal,True,,24.347568400000455,11534841.0,10274913.0,11099604.0,11036810.0,0.9568237654944702,0.3356,0.0722,0.0614,7,0
