alpha,metric,analysis_scope,n,mean,sd,median,min,max
1.0,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
1.0,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
1.0,recommended_revised_cash,optimal_only,26,12250415.461538462,1337366.1609112811,11743927.5,10104525.0,14607017.0
1.0,final_realized_cash,optimal_only,26,12004787.423076924,1258918.2027505734,11533604.5,9974453.0,14345142.0
1.0,final_vs_planned_ratio,optimal_only,26,0.8993257775567659,0.03707151960273395,0.8923920936654521,0.8281385443436385,0.9718875345034079
1.0,max_LPS,optimal_only,26,0.6697653846153846,0.275881197535907,0.61755,0.2184,1.0
1.0,mean_HHI,optimal_only,26,0.13830384615384617,0.04169735224945805,0.1333,0.065,0.2024
1.0,median_HHI,optimal_only,26,0.07065384615384615,0.01130165406546248,0.0681,0.0555,0.101
1.0,n_active_crops,optimal_only,26,7.846153846153846,0.36794648440311994,8.0,7.0,8.0
1.0,target_violations,optimal_only,26,0.0,0.0,0.0,0.0,0.0
0.6,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.6,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.6,recommended_revised_cash,optimal_only,26,12239510.0,1346878.997718147,11743927.5,10101695.0,14607017.0
0.6,final_realized_cash,optimal_only,26,11994023.5,1269253.762446273,11533604.5,9872201.0,14345142.0
0.6,final_vs_planned_ratio,optimal_only,26,0.8984652999204777,0.037935649215570466,0.8923057663426375,0.8193546397369876,0.971140387287876
0.6,max_LPS,optimal_only,26,0.4513846153846154,0.13227305603880996,0.5012,0.1851,0.5977
0.6,mean_HHI,optimal_only,26,0.10616153846153846,0.025286361176303354,0.11165,0.0638,0.1537
0.6,median_HHI,optimal_only,26,0.07003846153846154,0.010881068952013013,0.06765,0.0555,0.101
0.6,n_active_crops,optimal_only,26,7.730769230769231,0.4523443208612048,8.0,7.0,8.0
0.6,target_violations,optimal_only,26,0.0,0.0,0.0,0.0,0.0
0.5,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.5,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.5,recommended_revised_cash,optimal_only,26,12222638.807692308,1339662.5305164289,11742310.0,10096135.0,14605454.0
0.5,final_realized_cash,optimal_only,26,11976083.423076924,1261284.058738496,11531987.0,9870062.0,14343579.0
0.5,final_vs_planned_ratio,optimal_only,26,0.8971997145080223,0.03875219123115894,0.887501559931529,0.8107541681003472,0.971140387287876
0.5,max_LPS,optimal_only,26,0.3819346153846154,0.09819117248432342,0.4357,0.1851,0.4872
0.5,mean_HHI,optimal_only,26,0.09257307692307692,0.019853131897860504,0.09620000000000001,0.0638,0.1242
0.5,median_HHI,optimal_only,26,0.06897307692307693,0.01124546335878812,0.0665,0.0558,0.101
0.5,n_active_crops,optimal_only,26,7.576923076923077,0.503831473655779,8.0,7.0,8.0
0.5,target_violations,optimal_only,26,0.0,0.0,0.0,0.0,0.0
0.4,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.4,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.4,recommended_revised_cash,optimal_only,26,12207736.73076923,1344680.9542051097,11666591.0,10096135.0,14603372.0
0.4,final_realized_cash,optimal_only,26,11961110.307692308,1267604.0933540335,11517925.5,9866936.0,14341497.0
0.4,final_vs_planned_ratio,optimal_only,26,0.8960488273600744,0.039264927753578836,0.8872859208628667,0.8089197651442633,0.971140387287876
0.4,max_LPS,optimal_only,26,0.3411923076923077,0.06613093631925634,0.3668,0.1851,0.3999
0.4,mean_HHI,optimal_only,26,0.08729615384615384,0.015636329000612154,0.08905,0.0638,0.1169
0.4,median_HHI,optimal_only,26,0.06912307692307693,0.011349090102463993,0.0665,0.0555,0.101
0.4,n_active_crops,optimal_only,26,7.576923076923077,0.503831473655779,8.0,7.0,8.0
0.4,target_violations,optimal_only,26,0.0,0.0,0.0,0.0,0.0
0.33,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.33,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.33,recommended_revised_cash,optimal_only,26,12167160.576923076,1324444.8234812403,11648153.5,10096135.0,14404150.0
0.33,final_realized_cash,optimal_only,26,11922934.423076924,1255701.721692701,11500138.0,9859538.0,14142275.0
0.33,final_vs_planned_ratio,optimal_only,26,0.8933173633685919,0.0406616858153599,0.8879226714626391,0.798773738874523,0.971140387287876
0.33,max_LPS,optimal_only,26,0.28439615384615385,0.050589868398873944,0.31245,0.1851,0.33
0.33,mean_HHI,optimal_only,26,0.07793461538461538,0.013777487210886964,0.07425000000000001,0.0596,0.1119
0.33,median_HHI,optimal_only,26,0.06790384615384615,0.011811400620391497,0.06509999999999999,0.0533,0.101
0.33,n_active_crops,optimal_only,26,7.423076923076923,0.503831473655779,7.0,7.0,8.0
0.33,target_violations,optimal_only,26,0.0,0.0,0.0,0.0,0.0
