family,parameter,method,state,metric,analysis_scope,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_replicates,bootstrap_seed
PRIMARY,publication_config,B1,PLANNED,cash,all_30,30,14729243.266666668,14167571.595833333,15315497.290833334,10000,20260812
PRIMARY,publication_config,B2,PLANNED,cash,all_30,30,14006371.633333333,13483888.940833334,14539618.8675,10000,20260812
PRIMARY,publication_config,B3,PLANNED,cash,all_30,30,13314895.866666667,12829382.826666666,13832201.470833333,10000,20260812
PRIMARY,publication_config,PROPOSED,PLANNED,cash,optimal_only,26,13361873.5,12839735.697115386,13908209.892307693,10000,20260812
PRIMARY,publication_config,PROPOSED,INITIAL_REALIZED,cash,optimal_only,26,10880986.423076924,10490255.257692307,11269184.386538463,10000,20260812
PRIMARY,publication_config,PROPOSED,RECOMMENDED_REVISED,cash,optimal_only,26,12207736.73076923,11706596.174999999,12722827.502884615,10000,20260812
PRIMARY,publication_config,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11961110.307692308,11496162.39423077,12439734.69326923,10000,20260812
PRIMARY,publication_config,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,26,0.8960488273600744,0.8811420779618065,0.9110017917155341,10000,20260812
UNCERTAINTY,U0,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11961110.307692308,11493888.025,12433317.373076921,10000,20260812
UNCERTAINTY,U0,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,26,0.8960488273600744,0.8817084354219112,0.9110953042714411,10000,20260812
UNCERTAINTY,UW,PROPOSED,FINAL_REALIZED,cash,optimal_only,27,12001990.629629629,11468572.087037036,12555827.892592592,10000,20260812
UNCERTAINTY,UW,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,27,0.9011110384498765,0.8866178651935588,0.9149984210960925,10000,20260812
UNCERTAINTY,UM,PROPOSED,FINAL_REALIZED,cash,optimal_only,24,12456423.833333334,11833057.730208334,13056134.409375,10000,20260812
UNCERTAINTY,UM,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,24,0.8999698413997995,0.8844445400684251,0.9157471163817091,10000,20260812
UNCERTAINTY,UR,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11487319.73076923,11009496.091346154,11997910.217307692,10000,20260812
UNCERTAINTY,UR,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,26,0.8996952522474371,0.8852101117441346,0.9142945156904185,10000,20260812
UNCERTAINTY,UP,PROPOSED,FINAL_REALIZED,cash,optimal_only,25,10582058.0,10076167.834999999,11104660.386,10000,20260812
UNCERTAINTY,UP,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,25,0.8950629237124192,0.8788719218303889,0.9117249523665119,10000,20260812
UNCERTAINTY,UJ,PROPOSED,FINAL_REALIZED,cash,optimal_only,25,10232448.52,9645289.172999999,10789496.32,10000,20260812
UNCERTAINTY,UJ,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,25,0.905152632708875,0.8897256730919136,0.9204541997016786,10000,20260812
EPSILON_SENSITIVITY,epsilon=0.8,B3,PLANNED,cash,optimal_only,30,11448507.8,11042180.825,11874525.080833334,10000,20260812
EPSILON_SENSITIVITY,epsilon=0.9,B3,PLANNED,cash,optimal_only,30,12645853.833333334,12176385.655833332,13145490.765833333,10000,20260812
EPSILON_SENSITIVITY,epsilon=0.95,B3,PLANNED,cash,optimal_only,30,13314895.866666667,12822031.200833334,13826289.233333332,10000,20260812
EPSILON_SENSITIVITY,epsilon=1.0,B3,PLANNED,cash,optimal_only,28,14096827.642857144,13558994.934821429,14650700.145535713,10000,20260812
LAMBDA_STABILITY,lambda=0.0,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11967155.5,11513582.696153846,12447170.20673077,10000,20260812
LAMBDA_STABILITY,lambda=0.0,PROPOSED,RECOMMENDED_REVISED,disruption_rate,optimal_only,26,0.06154631626243012,0.052958490231050946,0.0708695627989363,10000,20260812
LAMBDA_STABILITY,lambda=0.05,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11961110.307692308,11483165.552884616,12439599.5875,10000,20260812
LAMBDA_STABILITY,lambda=0.05,PROPOSED,RECOMMENDED_REVISED,disruption_rate,optimal_only,26,0.02223680163625535,0.017827635889019068,0.027345404930053302,10000,20260812
LAMBDA_STABILITY,lambda=0.1,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11958880.576923076,11480660.811538462,12446879.728846153,10000,20260812
LAMBDA_STABILITY,lambda=0.1,PROPOSED,RECOMMENDED_REVISED,disruption_rate,optimal_only,26,0.020682525152361724,0.016246809486377863,0.025837315951594293,10000,20260812
LAMBDA_STABILITY,lambda=0.25,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11931893.884615384,11463607.374038462,12410845.224038461,10000,20260812
LAMBDA_STABILITY,lambda=0.25,PROPOSED,RECOMMENDED_REVISED,disruption_rate,optimal_only,26,0.007191264753109114,0.005202273256849453,0.00936286240129152,10000,20260812
LAMBDA_STABILITY,lambda=0.5,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11931720.653846154,11457834.438461538,12408132.189423077,10000,20260812
LAMBDA_STABILITY,lambda=0.5,PROPOSED,RECOMMENDED_REVISED,disruption_rate,optimal_only,26,0.005244844552603004,0.0034621826309733598,0.007332352547277589,10000,20260812
LAMBDA_STABILITY,lambda=1.0,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11893126.115384616,11427087.11826923,12368486.0875,10000,20260812
LAMBDA_STABILITY,lambda=1.0,PROPOSED,RECOMMENDED_REVISED,disruption_rate,optimal_only,26,0.00029165742605430676,0.0,0.0007627883319678214,10000,20260812
ALPHA_CONCENTRATION,alpha=1.0,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,12004787.423076924,11524125.839423077,12492330.21826923,10000,20260812
ALPHA_CONCENTRATION,alpha=1.0,PROPOSED,RECOMMENDED_REVISED,max_LPS,optimal_only,26,0.6697653846153846,0.56688875,0.7747848076923077,10000,20260812
ALPHA_CONCENTRATION,alpha=0.6,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11994023.5,11522311.32596154,12474550.960576924,10000,20260812
ALPHA_CONCENTRATION,alpha=0.6,PROPOSED,RECOMMENDED_REVISED,max_LPS,optimal_only,26,0.45138461538461533,0.40016807692307693,0.499335,10000,20260812
ALPHA_CONCENTRATION,alpha=0.5,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11976083.423076924,11505402.584615385,12457987.612499999,10000,20260812
ALPHA_CONCENTRATION,alpha=0.5,PROPOSED,RECOMMENDED_REVISED,max_LPS,optimal_only,26,0.38193461538461543,0.3438726923076923,0.4178542307692308,10000,20260812
ALPHA_CONCENTRATION,alpha=0.4,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11961110.307692308,11495025.815384615,12452909.128846154,10000,20260812
ALPHA_CONCENTRATION,alpha=0.4,PROPOSED,RECOMMENDED_REVISED,max_LPS,optimal_only,26,0.3411923076923077,0.31504375,0.3644233653846154,10000,20260812
ALPHA_CONCENTRATION,alpha=0.33,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11922934.423076924,11465494.457692308,12407652.499038462,10000,20260812
ALPHA_CONCENTRATION,alpha=0.33,PROPOSED,RECOMMENDED_REVISED,max_LPS,optimal_only,26,0.2843961538461538,0.26439153846153846,0.30312346153846154,10000,20260812
ACTION_ROBUSTNESS,PRIMARY,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11961110.307692308,11488562.207692308,12439746.970192308,10000,20260812
ACTION_ROBUSTNESS,PRIMARY,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,26,0.8960488273600744,0.8810399181794681,0.9110039480880705,10000,20260812
