seed,epsilon,status,optimal,runtime_s,cash,area,cash_per_allocated_ha,min_normalized_return
192338,0.8,Optimal,True,0.12,13265129.0,341.149,38883.68132399626,403.8
192338,0.9,Optimal,True,0.14,14805700.0,371.758,39826.17724433637,403.8
192338,0.95,Optimal,True,0.15,15546253.0,385.483,40329.28300340093,403.8
192338,1.0,Optimal,True,0.93,16349748.0,395.217,41369.040299379834,0.0
196157,0.8,Optimal,True,0.15,12989720.0,331.241,39215.31452930042,275.0
196157,0.9,Optimal,True,0.16,14273319.0,359.255,39730.32803997161,275.0
196157,0.95,Optimal,True,0.19,15015058.0,366.776,40937.95122908805,275.0
196157,1.0,Optimal,True,0.71,15790166.0,376.965,41887.618213892536,0.0
200768,0.8,Optimal,True,0.16,12084326.0,300.637,40195.73771691442,286.9
200768,0.9,Optimal,True,0.16,12952006.0,326.372,39684.79526429963,286.9
200768,0.95,Optimal,True,0.21,13630319.0,328.871,41445.79181502778,286.9
200768,1.0,Optimal,True,1.2,14347314.0,348.655,41150.461057492364,0.0
222335,0.8,Optimal,True,0.2,9858098.0,316.283,31168.599007850564,287.4
222335,0.9,Optimal,True,0.18,10970477.0,338.977,32363.484838204364,287.4
222335,0.95,Optimal,True,0.2,11534841.0,348.936,33057.182405942636,287.4
222335,1.0,Optimal,True,0.25,12141112.0,345.378,35153.1134003903,0.0
262122,0.8,Optimal,True,0.1,11560382.0,301.898,38292.34377173747,329.6
262122,0.9,Optimal,True,0.11,12381281.0,322.867,38347.929642856034,329.6
262122,0.95,Optimal,True,0.14,13082045.0,330.911,39533.42439507904,329.6
262122,1.0,Optimal,True,0.7,13727092.0,341.877,40152.13658713514,0.0
288572,0.8,Optimal,True,0.1,11618354.0,283.964,40914.88357679143,323.8
288572,0.9,Optimal,True,0.14,12929838.0,315.849,40936.77041877606,323.8
288572,0.95,Optimal,True,0.16,13650763.0,333.155,40974.21020245832,323.8
288572,1.0,Optimal,True,1.67,14365098.0,341.058,42119.223123339725,0.0
320290,0.8,Optimal,True,0.12,11399116.0,278.838,40880.78382429941,861.2
320290,0.9,Optimal,True,0.16,12715461.0,317.659,40028.65021926028,861.2
