epsilon,metric,analysis_scope,n,mean,sd,median,min,max
0.8,cash,optimal_only,30,11448507.8,1188216.322421608,11380600.5,9602714.0,13740385.0
0.8,area,optimal_only,30,309.0486333333333,26.38338666855146,305.1735,253.782,351.419
0.8,cash_per_allocated_ha,optimal_only,30,37179.827273823765,3870.5842799147526,37038.552116085295,30677.04772831301,46239.37800532743
0.8,min_normalized_return,optimal_only,30,390.70666666666665,177.66048584275867,304.25,273.2,861.2
0.8,runtime_s,all_runs,30,0.13133333333333333,0.02255007199825395,0.125,0.1,0.2
0.9,cash,optimal_only,30,12645853.833333334,1360384.7135879104,12444699.0,10759340.0,15552039.0
0.9,area,optimal_only,30,335.5108,27.942395316572025,335.5535,277.831,379.392
0.9,cash_per_allocated_ha,optimal_only,30,37785.37431335346,3618.7659851509225,38590.8783407977,30232.100307860997,44799.60148366963
0.9,min_normalized_return,optimal_only,30,390.70666666666665,177.66048584275867,304.25,273.2,861.2
0.9,runtime_s,all_runs,30,0.155,0.02046864717663039,0.15,0.11,0.22
0.95,cash,optimal_only,30,13314895.866666667,1432426.0802319748,13126546.5,11317399.0,16331308.0
0.95,area,optimal_only,30,346.587,31.39041130334395,346.358,281.094,400.671
0.95,cash_per_allocated_ha,optimal_only,30,38554.23897857898,3867.1875066255884,39235.00359514161,30198.901342997124,46038.37074296618
0.95,min_normalized_return,optimal_only,30,390.70666666666665,177.66048584275867,304.25,273.2,861.2
0.95,runtime_s,all_runs,30,0.19533333333333333,0.047323780807169855,0.19,0.14,0.32
1.0,cash,optimal_only,28,14096827.642857144,1501020.9854282325,13833835.0,11907597.0,17152128.0
1.0,area,optimal_only,28,351.21964285714284,27.2008500346674,350.18,294.225,398.603
1.0,cash_per_allocated_ha,optimal_only,28,40170.34564770083,3280.0081350690084,40401.12200429523,34060.0025078227,45727.9384493543
1.0,min_normalized_return,optimal_only,28,84.23928571428571,225.06545770358176,0.0,0.0,861.2
1.0,runtime_s,all_runs,30,10.268,29.994699807661423,1.69,0.21,120.06
