lambda,metric,analysis_scope,n,mean,sd,median,min,max
0.0,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.0,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.0,recommended_revised_cash,optimal_only,26,12218245.346153846,1344278.0151923914,11676255.0,10105486.0,14613493.0
0.0,final_realized_cash,optimal_only,26,11967155.5,1261431.0734073503,11518159.0,9883604.0,14335257.0
0.0,final_vs_planned_ratio,optimal_only,26,0.8965118428221578,0.03826725171750369,0.8875330601972887,0.8095746003355271,0.9727500719064405
0.0,changed_soft_area,optimal_only,26,5.996153846153846,2.7528139449270115,5.199999999999999,2.4,13.1
0.0,soft_lock_area,optimal_only,26,97.2,16.62742313168219,95.4,69.5,129.6
0.0,disruption_rate,optimal_only,26,0.061546316262430116,0.024017188013778855,0.057521812552772306,0.021071115013169446,0.12220149253731342
0.05,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.05,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.05,recommended_revised_cash,optimal_only,26,12207736.73076923,1344680.9542051097,11666591.0,10096135.0,14603372.0
0.05,final_realized_cash,optimal_only,26,11961110.307692308,1267604.0933540335,11517925.5,9866936.0,14341497.0
0.05,final_vs_planned_ratio,optimal_only,26,0.8960488273600744,0.039264927753578836,0.8872859208628667,0.8089197651442633,0.971140387287876
0.05,changed_soft_area,optimal_only,26,2.2192307692307693,1.5681885679392593,1.95,0.4,8.4
0.05,soft_lock_area,optimal_only,26,97.2,16.62742313168219,95.4,69.5,129.6
0.05,disruption_rate,optimal_only,26,0.02223680163625535,0.012748250713533055,0.019192558254824,0.0048019207683073235,0.06481481481481483
0.1,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.1,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.1,recommended_revised_cash,optimal_only,26,12205876.384615384,1344956.7659530793,11666610.0,10096135.0,14602621.0
0.1,final_realized_cash,optimal_only,26,11958880.576923076,1267597.0453427911,11515094.5,9859538.0,14340747.0
0.1,final_vs_planned_ratio,optimal_only,26,0.8958792057819509,0.03923247898961001,0.8872008042010604,0.8089197651442633,0.971140387287876
0.1,changed_soft_area,optimal_only,26,2.0615384615384618,1.5738047968098008,1.75,0.3,8.4
0.1,soft_lock_area,optimal_only,26,97.2,16.62742313168219,95.4,69.5,129.6
0.1,disruption_rate,optimal_only,26,0.020682525152361724,0.01269397404797295,0.018118433689006,0.0029644268774703555,0.06481481481481483
0.25,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.25,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.25,recommended_revised_cash,optimal_only,26,12174246.153846154,1330367.5692267816,11647769.0,10046705.0,14562771.0
0.25,final_realized_cash,optimal_only,26,11931893.884615384,1255547.79993478,11501610.5,9859538.0,14300897.0
0.25,final_vs_planned_ratio,optimal_only,26,0.8939387235304166,0.03952371578639435,0.8843901159869003,0.8089197651442633,0.9697122000481784
0.25,changed_soft_area,optimal_only,26,0.7230769230769231,0.6041904946671652,0.6,0.0,2.3
0.25,soft_lock_area,optimal_only,26,97.2,16.62742313168219,95.4,69.5,129.6
0.25,disruption_rate,optimal_only,26,0.007191264753109114,0.0055325908310445695,0.00670387238066796,0.0,0.022549019607843137
0.5,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
0.5,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
0.5,recommended_revised_cash,optimal_only,26,12161102.653846154,1332874.4709395838,11647769.0,10010199.0,14562771.0
0.5,final_realized_cash,optimal_only,26,11931720.653846154,1250842.0737837034,11487134.5,9859538.0,14300897.0
0.5,final_vs_planned_ratio,optimal_only,26,0.8939594835575001,0.03953887799334573,0.8860567474311962,0.8054999563028089,0.9690674425056495
0.5,changed_soft_area,optimal_only,26,0.5192307692307693,0.5359247938054225,0.35,0.0,2.3
0.5,soft_lock_area,optimal_only,26,97.2,16.62742313168219,95.4,69.5,129.6
0.5,disruption_rate,optimal_only,26,0.0052448445526030035,0.0051873971637827546,0.0035704573074863814,0.0,0.022549019607843137
1.0,planned_cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
1.0,initial_realized_cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
1.0,recommended_revised_cash,optimal_only,26,12115430.23076923,1336927.6350803229,11580462.0,9960723.0,14459368.0
1.0,final_realized_cash,optimal_only,26,11893126.115384616,1258584.385123487,11425198.5,9847426.0,14269384.0
1.0,final_vs_planned_ratio,optimal_only,26,0.8909606226604376,0.03874187721522542,0.8853535424843735,0.8024359517486312,0.9650425511937744
1.0,changed_soft_area,optimal_only,26,0.026923076923076925,0.10023050357128735,0.0,0.0,0.5
1.0,soft_lock_area,optimal_only,26,97.2,16.62742313168219,95.4,69.5,129.6
1.0,disruption_rate,optimal_only,26,0.0002916574260543067,0.0011206904022126284,0.0,0.0,0.005630630630630631
