seed,b1_status,b1_cash_planned,b2_status,b2_cash_planned,b3_status,b3_cash_planned,proposed_status,proposed_optimal,proposed_failed_stage,proposed_runtime_s,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash,final_vs_planned_ratio,final_vs_recommended_ratio,planned_to_final_cash_loss,consent_coverage_final,renewed_prompts,withdrawn_farmers
192338,Optimal,17005952.0,Optimal,16349748.0,Optimal,15546253.0,Optimal,True,,12.508657600003062,15546253.0,11790321.0,14230948.0,13040311.0,0.8388073319017773,0.9163346672336937,2505942.0,1.0,74,12
196157,Optimal,16891168.0,Optimal,15790166.0,Optimal,15015058.0,Infeasible,False,proposed.reopt_phase3,10.287327900005039,,,,,,,,,,
200768,Optimal,14869211.0,Optimal,14346966.0,Optimal,13630319.0,Optimal,True,,12.42561070001102,13630319.0,11635891.0,12517039.0,12398110.0,0.9095979338414604,0.9904986315054223,1232209.0,1.0,55,8
222335,Optimal,13636126.0,Optimal,12141112.0,Optimal,11534841.0,Optimal,True,,24.347568400000455,11534841.0,10274913.0,11099604.0,11036810.0,0.9568237654944702,0.994342681054207,498031.0,1.0,48,4
262122,Optimal,13881073.0,Optimal,13727092.0,Optimal,13082045.0,Optimal,True,,13.239471200009575,13082045.0,10611409.0,12009112.0,11616402.0,0.8879652990033287,0.9672989976278012,1465643.0,1.0,56,5
288572,Optimal,15054825.0,Optimal,14365098.0,Optimal,13650763.0,Optimal,True,,13.464615700009745,13650763.0,10124938.0,11350602.0,11042372.0,0.8089197651442633,0.9728446121183705,2608391.0,1.0,58,9
320290,Optimal,14125749.0,Optimal,14116991.0,Optimal,13411971.0,Optimal,True,,13.084870699996827,13411971.0,11223008.0,12852555.0,12500983.0,0.9320765009110145,0.9726457502029752,910988.0,1.0,62,4
321611,Optimal,14446244.0,Optimal,13548340.0,Optimal,12871171.0,Optimal,True,,51.29858060000697,12871171.0,10211148.0,11405320.0,11256622.0,0.8745608305569089,0.9869624000028057,1614549.0,1.0,75,6
331297,Optimal,15814650.0,Optimal,15269506.0,Optimal,14555507.0,Optimal,True,,15.229219800006831,14555507.0,11681842.0,13981819.0,13301649.0,0.9138567966062604,0.9513532538219812,1253858.0,1.0,83,4
385101,Optimal,16607005.0,Optimal,14199009.0,Optimal,13497163.0,Optimal,True,,15.410113199992338,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.987870570233484,508294.0,1.0,67,8
449132,Optimal,13675589.0,Optimal,13562104.0,Optimal,12906260.0,Optimal,True,,14.444832600012887,12906260.0,10000947.0,11260117.0,11132527.0,0.8625680096325349,0.9886688566379905,1773733.0,1.0,63,4
496928,Optimal,14759805.0,Optimal,12734618.0,Optimal,12099824.0,Infeasible,False,proposed.reopt_phase3,11.639262899989262,,,,,,,,,,
514942,Optimal,14838165.0,Optimal,13818431.0,Optimal,13128152.0,Optimal,True,,12.973244199994951,13128152.0,10502129.0,11676317.0,11530840.0,0.8783292576137144,0.9875408487111133,1597312.0,1.0,63,8
52314,Optimal,14716670.0,Optimal,13601544.0,Optimal,12922898.0,Optimal,True,,26.931051699997624,12922898.0,10495462.0,11623246.0,11220156.0,0.8682383781099255,0.9653203588739324,1702742.0,1.0,65,9
57684,Optimal,13758563.0,Optimal,12382903.0,Optimal,11768765.0,Optimal,True,,13.069189900008496,11768765.0,9892202.0,11552441.0,11429123.0,0.971140387287876,0.9893253728800693,339642.0,1.0,58,3
621609,Optimal,15871932.0,Optimal,14274010.0,Optimal,13567722.0,Infeasible,False,proposed.reopt_phase3,11.882910700020147,,,,,,,,,,
627177,Optimal,12307764.0,Optimal,11948968.0,Optimal,11355561.0,Infeasible,False,proposed.reopt_phase3,10.635544499993557,,,,,,,,,,
637394,Optimal,13643979.0,Optimal,13559534.0,Optimal,12885185.0,Optimal,True,,13.25480689998949,12885185.0,10076401.0,11198084.0,11140075.0,0.8645646143225728,0.994819738805317,1745110.0,1.0,64,4
651976,Optimal,15352176.0,Optimal,15024792.0,Optimal,14283115.0,Optimal,True,,15.00926319998689,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,0.9741758256403088,1125304.0,1.0,78,4
65693,Optimal,11907597.0,Optimal,11907597.0,Optimal,11317399.0,Optimal,True,,34.59749159999774,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.992156547884372,1283319.0,1.0,57,9
679242,Optimal,13849239.0,Optimal,13849239.0,Optimal,13159072.0,Optimal,True,,14.307575600018026,13159072.0,11127309.0,12079134.0,11787450.0,0.8957660540196147,0.9758522423875752,1371622.0,1.0,54,5
