method,state,metric,analysis_scope,n,mean,sd,median,min,max
B1,PLANNED,cash,all_30_primary_seeds,30,14729243.266666668,1631754.4244390693,14581457.0,11907597.0,17924836.0
B2,PLANNED,cash,all_30_primary_seeds,30,14006371.633333333,1503411.3083689897,13816291.5,11907597.0,17152116.0
B3,PLANNED,cash,all_30_primary_seeds,30,13314895.866666667,1432426.0802319748,13126546.5,11317399.0,16331308.0
PROPOSED,PLANNED,cash,optimal_proposed_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
PROPOSED,INITIAL_REALIZED,cash,optimal_proposed_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
PROPOSED,RECOMMENDED_REVISED,cash,optimal_proposed_only,26,12207736.73076923,1344680.9542051097,11666591.0,10096135.0,14603372.0
PROPOSED,FINAL_REALIZED,cash,optimal_proposed_only,26,11961110.307692308,1267604.0933540335,11517925.5,9866936.0,14341497.0
PROPOSED,FINAL_vs_PLANNED,ratio,optimal_proposed_only,26,0.8960488273600744,0.039264927753578836,0.8872859208628667,0.8089197651442633,0.971140387287876
PROPOSED,FINAL_vs_RECOMMENDED,ratio,optimal_proposed_only,26,0.9803715088218778,0.0172403358383293,0.9873119643838607,0.9163346672336937,0.9970071236995627
PROPOSED,PLANNED_MINUS_FINAL,cash_loss,optimal_proposed_only,26,1400763.1923076923,575991.2922108471,1361016.5,339642.0,2608391.0
