seed,n_farmers,b1_status,b1_optimal,b1_cash,b1_runtime_s,b2_status,b2_optimal,b2_cash,b2_runtime_s,b3_status,b3_optimal,b3_cash,b3_runtime_s,proposed_status,proposed_optimal,proposed_failed_stage,proposed_runtime_s,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash
192338,100,Optimal,True,3042511.0,1.21,Optimal,True,2889177.0,0.08,Optimal,True,2759123.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,2.2553358000004664,,,,
192338,25,Optimal,True,850039.0,0.35,Optimal,True,850039.0,0.06,Optimal,True,816234.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.7392075000097975,,,,
192338,250,Optimal,True,7069764.0,3.24,Optimal,True,6710668.0,0.29,Optimal,True,6375696.0,0.14,Optimal,True,,5.9971877000061795,6375696.0,5518555.0,6073539.0,5939597.0
192338,50,Optimal,True,2447874.0,0.75,Optimal,True,2217410.0,0.09,Optimal,True,2110973.0,0.07,Optimal,True,,1.7554541999998037,2110973.0,2049348.0,1164613.0,1164613.0
192338,500,Optimal,True,17005952.0,13.5,Optimal,True,16349748.0,0.39,Optimal,True,15546253.0,0.15,Optimal,True,,12.508657600003062,15546253.0,11790321.0,14230948.0,13040311.0
196157,100,Optimal,True,5231025.0,1.21,Optimal,True,4332878.0,0.17,Optimal,True,4116387.0,0.07,Optimal,True,,2.657039400015492,4116387.0,3918512.0,3330932.0,3270535.0
196157,25,Optimal,True,1522427.0,0.31,Optimal,True,1517934.0,0.07,Optimal,True,1509296.0,0.06,Optimal,True,,0.8663444000121672,1509296.0,1410884.0,72186.0,56778.0
196157,250,Optimal,True,9422840.0,3.32,Optimal,True,8803785.0,0.14,Optimal,True,8372180.0,0.12,Optimal,True,,6.713542000012239,8372180.0,7731432.0,7808942.0,7652213.0
196157,50,Optimal,True,2904812.0,0.59,Optimal,True,2193994.0,0.07,Optimal,True,2108771.0,0.07,Optimal,True,,1.4122462999948766,2108771.0,1968421.0,960683.0,925950.0
196157,500,Optimal,True,16891168.0,13.17,Optimal,True,15790166.0,0.45,Optimal,True,15015058.0,0.19,Infeasible,False,proposed.reopt_phase3,10.287327900005039,,,,
200768,100,Optimal,True,2059307.0,0.82,Optimal,True,2059307.0,0.05,Optimal,True,1966115.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,4.313415999989957,,,,
200768,25,Optimal,True,449227.0,0.34,Optimal,True,369411.0,0.06,Optimal,True,351250.0,0.07,Infeasible,False,proposed.reopt_phase3,1.122243800025899,,,,
200768,250,Optimal,True,6184388.0,2.69,Optimal,True,6184388.0,0.08,Optimal,True,5876175.0,0.09,Optimal,True,,10.568415100016864,5876175.0,5022220.0,5394028.0,5372177.0
200768,50,Optimal,True,1249401.0,0.53,Optimal,True,1249401.0,0.07,Optimal,True,1206897.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.5011932000052184,,,,
200768,500,Optimal,True,14869211.0,13.96,Optimal,True,14346966.0,0.26,Optimal,True,13630319.0,0.21,Optimal,True,,12.42561070001102,13630319.0,11635891.0,12517039.0,12398110.0
222335,100,Optimal,True,1713964.0,1.35,Optimal,True,1707793.0,0.08,Optimal,True,1625852.0,0.06,Optimal,True,,2.626021399977617,1625852.0,1349346.0,1504412.0,1479450.0
222335,25,Optimal,True,483563.0,0.47,Optimal,True,360141.0,0.07,Optimal,True,342546.0,0.06,Infeasible,False,proposed.phase3_e_star,0.6950017999915872,,,,
222335,250,Optimal,True,7434111.0,3.51,Optimal,True,6884546.0,0.33,Optimal,True,6545517.0,0.12,Optimal,True,,6.8356541999964975,6545517.0,5888766.0,6256104.0,6188690.0
222335,50,Optimal,True,874313.0,0.72,Optimal,True,698826.0,0.22,Optimal,True,668232.0,0.11,Infeasible,False,proposed.phase4_e_star_alpha,1.5699496000015642,,,,
222335,500,Optimal,True,13636126.0,11.3,Optimal,True,12141112.0,0.65,Optimal,True,11534841.0,0.2,Optimal,True,,24.347568400000455,11534841.0,10274913.0,11099604.0,11036810.0
262122,100,Optimal,True,2099862.0,1.15,Optimal,True,1989979.0,0.24,Optimal,True,1893824.0,0.07,Optimal,True,,2.79427090001991,1893824.0,1674242.0,1666279.0,1648509.0
262122,25,Optimal,True,1011614.0,0.38,Optimal,True,481088.0,0.06,Optimal,True,458182.0,0.06,Optimal,True,,0.997512200003257,458182.0,450960.0,216085.0,204406.0
262122,250,Optimal,True,6865680.0,3.39,Optimal,True,6859692.0,0.18,Optimal,True,6573546.0,0.11,Optimal,True,,6.908941200003028,6573546.0,5762377.0,6390902.0,6367188.0
262122,50,Optimal,True,1503217.0,0.59,Optimal,True,1154031.0,0.21,Optimal,True,1097695.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.4633857999870088,,,,
262122,500,Optimal,True,13881073.0,13.06,Optimal,True,13727092.0,0.29,Optimal,True,13082045.0,0.14,Optimal,True,,13.239471200009575,13082045.0,10611409.0,12009112.0,11616402.0
288572,100,Optimal,True,5342893.0,1.33,Optimal,True,4580619.0,0.19,Optimal,True,4352122.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,2.5332259999995586,,,,
288572,25,Optimal,True,1847356.0,0.32,Optimal,True,1095397.0,0.05,Optimal,True,1077755.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.6832703999825753,,,,
288572,250,Optimal,True,8021780.0,3.04,Optimal,True,7657770.0,0.1,Optimal,True,7275458.0,0.12,Optimal,True,,6.409128899977077,7275458.0,5411835.0,5414713.0,5379479.0
288572,50,Optimal,True,3109310.0,0.61,Optimal,True,2579356.0,0.08,Optimal,True,2458873.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,1.4577194000012241,,,,
288572,500,Optimal,True,15054825.0,12.73,Optimal,True,14365098.0,0.56,Optimal,True,13650763.0,0.16,Optimal,True,,13.464615700009745,13650763.0,10124938.0,11350602.0,11042372.0
320290,100,Optimal,True,2333822.0,1.07,Optimal,True,2333822.0,0.12,Optimal,True,2251731.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,2.275533899985021,,,,
320290,25,Optimal,True,306610.0,0.32,Optimal,True,306610.0,0.06,Optimal,True,293413.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.7364044999994803,,,,
320290,250,Optimal,True,6903076.0,2.77,Optimal,True,6856105.0,24.5,Optimal,True,6570778.0,0.11,Optimal,True,,30.679650299978675,6570778.0,5283435.0,6128263.0,6109535.0
320290,50,Optimal,True,911374.0,0.57,Optimal,True,854867.0,0.06,Optimal,True,812954.0,0.18,Infeasible,False,proposed.phase4_e_star_alpha,1.3920822000072803,,,,
320290,500,Optimal,True,14125749.0,12.56,Optimal,True,14116991.0,0.29,Optimal,True,13411971.0,0.15,Optimal,True,,13.084870699996827,13411971.0,11223008.0,12852555.0,12500983.0
321611,100,Optimal,True,2415610.0,1.54,Optimal,True,2284121.0,0.37,Optimal,True,2179260.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,2.8738047999795526,,,,
321611,25,Optimal,True,487126.0,0.4,Optimal,True,416339.0,0.06,Optimal,True,400445.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.746956399991177,,,,
321611,250,Optimal,True,6564043.0,3.7,Optimal,True,6355518.0,120.37,Optimal,True,6046885.0,0.11,Optimal,True,,127.17210599998361,6046885.0,5062459.0,5686731.0,5634639.0
321611,50,Optimal,True,1114545.0,0.81,Optimal,True,1100522.0,0.09,Optimal,True,1068069.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.436506099998951,,,,
321611,500,Optimal,True,14446244.0,14.38,Optimal,True,13548340.0,26.37,Optimal,True,12871171.0,0.26,Optimal,True,,51.29858060000697,12871171.0,10211148.0,11405320.0,11256622.0
331297,100,Optimal,True,3787621.0,1.08,Optimal,True,2588795.0,0.11,Optimal,True,2460933.0,0.07,Infeasible,False,proposed.reopt_phase3,2.095674699987285,,,,
331297,25,Optimal,True,1224852.0,0.4,Optimal,True,646644.0,0.06,Optimal,True,618051.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.7988589000015054,,,,
331297,250,Optimal,True,7935288.0,3.08,Optimal,True,7046943.0,0.38,Optimal,True,6704807.0,0.11,Infeasible,False,proposed.reopt_phase3,5.4864258999878075,,,,
331297,50,Optimal,True,1673727.0,0.62,Optimal,True,1095519.0,0.06,Optimal,True,1046805.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.3774827999877743,,,,
331297,500,Optimal,True,15814650.0,13.58,Optimal,True,15269506.0,0.41,Optimal,True,14555507.0,0.15,Optimal,True,,15.229219800006831,14555507.0,11681842.0,13981819.0,13301649.0
385101,100,Optimal,True,3367798.0,1.26,Optimal,True,2738291.0,0.2,Optimal,True,2601387.0,0.09,Infeasible,False,proposed.reopt_phase3,2.2980413000041153,,,,
385101,25,Optimal,True,402213.0,0.3,Optimal,True,177219.0,0.11,Optimal,True,173373.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.7814837999758311,,,,
385101,250,Optimal,True,6885328.0,3.65,Optimal,True,5711148.0,0.35,Optimal,True,5425708.0,0.16,Infeasible,False,proposed.phase4_e_star_alpha,6.335476100008236,,,,
385101,50,Optimal,True,1638429.0,0.57,Optimal,True,1413435.0,0.05,Optimal,True,1360223.0,0.08,Infeasible,False,proposed.reopt_phase3,1.085194599989336,,,,
385101,500,Optimal,True,16607005.0,13.96,Optimal,True,14199009.0,0.62,Optimal,True,13497163.0,0.22,Optimal,True,,15.410113199992338,13497163.0,11318677.0,13148351.0,12988869.0
449132,100,Optimal,True,2163964.0,1.16,Optimal,True,2110432.0,0.09,Optimal,True,2017062.0,0.09,Infeasible,False,proposed.phase4_e_star_alpha,2.5382246999943163,,,,
449132,25,Optimal,True,324081.0,0.32,Optimal,True,315137.0,0.06,Optimal,True,307447.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.8577549000037834,,,,
449132,250,Optimal,True,6047163.0,3.24,Optimal,True,6047163.0,0.12,Optimal,True,5852289.0,0.08,Optimal,True,,6.846362500014948,5852289.0,4927278.0,4592662.0,4371473.0
449132,50,Optimal,True,653035.0,0.63,Optimal,True,653035.0,0.08,Optimal,True,622351.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.4627669000183232,,,,
449132,500,Optimal,True,13675589.0,14.26,Optimal,True,13562104.0,0.42,Optimal,True,12906260.0,0.18,Optimal,True,,14.444832600012887,12906260.0,10000947.0,11260117.0,11132527.0
496928,100,Optimal,True,2839085.0,1.37,Optimal,True,2486954.0,0.08,Optimal,True,2374578.0,0.08,Infeasible,False,proposed.phase4_e_star_alpha,2.1161646000109613,,,,
496928,25,Optimal,True,848598.0,0.29,Optimal,True,621943.0,0.05,Optimal,True,596407.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.7217393000028096,,,,
496928,250,Optimal,True,7561804.0,3.45,Optimal,True,6781444.0,0.27,Optimal,True,6445860.0,0.17,Optimal,True,,6.955805000005057,6445860.0,5759372.0,6191038.0,6066345.0
