n_farmers,method,state,metric,analysis_scope,n,mean,sd,median,min,max
25,B1,PLANNED,cash,all_runs,30,706562.1333333333,401674.3617041849,594479.0,197385.0,1847356.0
25,B1,PLANNED,runtime_s,all_runs,30,0.37133333333333335,0.09981822559492601,0.345,0.21,0.73
25,B2,PLANNED,cash,all_runs,30,545137.6666666666,307074.3956492194,399513.0,177219.0,1517934.0
25,B2,PLANNED,runtime_s,all_runs,30,0.065,0.015028708160235105,0.06,0.05,0.11
25,B3,PLANNED,cash,all_runs,30,527601.1666666666,300836.81306317175,387822.5,173373.0,1509296.0
25,B3,PLANNED,runtime_s,all_runs,30,0.064,0.022376095619486745,0.06,0.04,0.17
25,PROPOSED,PLANNED,cash,optimal_only,2,983739.0,743249.8372001167,983739.0,458182.0,1509296.0
25,PROPOSED,INITIAL_REALIZED,cash,optimal_only,2,930922.0,678768.7698237154,930922.0,450960.0,1410884.0
25,PROPOSED,RECOMMENDED_REVISED,cash,optimal_only,2,144135.5,101751.958705963,144135.5,72186.0,216085.0
25,PROPOSED,FINAL_REALIZED,cash,optimal_only,2,130592.0,104388.75989300763,130592.0,56778.0,204406.0
25,PROPOSED,PIPELINE,runtime_s,all_runs,30,0.8524214633323329,0.19209152233521984,0.7785312499763677,0.6832703999825753,1.6088782000006177
50,B1,PLANNED,cash,all_runs,30,1366432.8,664118.4349737316,1300445.5,533140.0,3109310.0
50,B1,PLANNED,runtime_s,all_runs,30,0.6176666666666667,0.11533110754612605,0.595,0.35,0.91
50,B2,PLANNED,cash,all_runs,30,1196491.2666666666,530440.6581591764,1116432.0,507792.0,2579356.0
50,B2,PLANNED,runtime_s,all_runs,30,0.08600000000000001,0.04492138727246475,0.07,0.05,0.22
50,B3,PLANNED,cash,all_runs,30,1147489.6666666667,505004.10737294034,1072032.0,483520.0,2458873.0
50,B3,PLANNED,runtime_s,all_runs,30,0.076,0.023867450060988775,0.07,0.05,0.18
50,PROPOSED,PLANNED,cash,optimal_only,4,1675538.75,545796.0125616987,1806848.0,977486.0,2110973.0
50,PROPOSED,INITIAL_REALIZED,cash,optimal_only,4,1503103.5,587095.7729005265,1513515.0,936036.0,2049348.0
50,PROPOSED,RECOMMENDED_REVISED,cash,optimal_only,4,975835.0,154871.44179824332,976106.5,786514.0,1164613.0
50,PROPOSED,FINAL_REALIZED,cash,optimal_only,4,961866.75,156223.43778783642,948170.0,786514.0,1164613.0
50,PROPOSED,PIPELINE,runtime_s,all_runs,30,1.4308464566682233,0.30948118734234353,1.3918185000075027,1.085194599989336,2.6853603000054136
100,B1,PLANNED,cash,all_runs,30,2780769.9,922735.6490639518,2535012.0,1607571.0,5342893.0
100,B1,PLANNED,runtime_s,all_runs,30,1.247,0.1751482130988613,1.21,0.82,1.64
100,B2,PLANNED,cash,all_runs,30,2519431.8666666667,762785.0309747977,2354555.5,1552750.0,4580619.0
100,B2,PLANNED,runtime_s,all_runs,30,0.14933333333333335,0.09569828065090945,0.1,0.05,0.41
