seed,condition,b1_status,b1_cash_planned,b2_status,b2_cash_planned,b3_status,b3_cash_planned,proposed_status,proposed_optimal,proposed_failed_stage,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash,final_vs_planned_ratio,final_vs_recommended_ratio,consent_coverage_final,reopt_status,conc_status
192338,U0,Optimal,17005952.0,Optimal,16349748.0,Optimal,15546253.0,,True,,15546253.0,11790321.0,14230948.0,13040311.0,0.8388073319017773,0.9163346672336937,1.0,Optimal,Optimal
192338,UJ,Optimal,14421069.0,Optimal,14312906.0,Optimal,13607830.0,,True,,13607830.0,10630057.0,12844224.0,11470786.0,0.8429548282128745,0.8930696007793075,1.0,Optimal,Optimal
192338,UM,Optimal,18752956.0,Optimal,18037556.0,Optimal,17141173.0,,True,,17141173.0,13416265.0,16247898.0,14770110.0,0.8616744023294088,0.9090474349358914,1.0,Optimal,Optimal
192338,UP,Optimal,13310730.0,Optimal,12996985.0,Optimal,12352804.0,,True,,12352804.0,9430949.0,11542429.0,10361388.0,0.8387883431162674,0.8976782963100748,1.0,Optimal,Optimal
192338,UR,Optimal,15982873.0,Optimal,15771886.0,Optimal,15036615.0,,True,,15036615.0,11642118.0,13956475.0,12763262.0,0.8488121827951304,0.914504701222909,1.0,Optimal,Optimal
192338,UW,Optimal,17620338.0,Optimal,16964134.0,Optimal,16122670.0,,True,,16122670.0,12455923.0,14946562.0,13743603.0,0.8524396393401341,0.919516006423417,1.0,Optimal,Optimal
196157,U0,Optimal,16891168.0,Optimal,15790166.0,Optimal,15015058.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
196157,UJ,Optimal,13730287.0,Optimal,13385903.0,Optimal,12727367.0,,True,,12727367.0,11288173.0,12049260.0,11962146.0,0.9398759382046578,0.9927701784175957,1.0,Optimal,Optimal
196157,UM,Optimal,17321116.0,Optimal,16517393.0,Optimal,15695290.0,,True,,15695290.0,13774006.0,15208883.0,15046782.0,0.9586813623704946,0.9893416893272176,1.0,Optimal,Optimal
196157,UP,Optimal,13672595.0,Optimal,13043245.0,Optimal,12392367.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
196157,UR,Optimal,16242403.0,Optimal,15214113.0,Optimal,14467653.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
196157,UW,Optimal,17070157.0,Optimal,15969155.0,Optimal,15171073.0,,True,,15171073.0,13133718.0,14602548.0,14358347.0,0.946429234108886,0.9832768226476639,1.0,Optimal,Optimal
200768,U0,Optimal,14869211.0,Optimal,14346966.0,Optimal,13630319.0,,True,,13630319.0,11635891.0,12517039.0,12398110.0,0.9095979338414604,0.9904986315054223,1.0,Optimal,Optimal
200768,UJ,Optimal,13652664.0,Optimal,13159209.0,Optimal,12501355.0,,True,,12501355.0,10634913.0,11721267.0,11586288.0,0.9268025746009133,0.9884842653955412,1.0,Optimal,Optimal
200768,UM,Optimal,14814450.0,Optimal,14375755.0,Optimal,13678864.0,,True,,13678864.0,11581832.0,12615125.0,12497091.0,0.9136059105492971,0.9906434537905887,1.0,Optimal,Optimal
200768,UP,Optimal,13998983.0,Optimal,13397125.0,Optimal,12762872.0,,True,,12762872.0,11021359.0,12023431.0,11899137.0,0.9323244015923688,0.9896623517862746,1.0,Optimal,Optimal
200768,UR,Optimal,14370745.0,Optimal,13846119.0,Optimal,13155004.0,,True,,13155004.0,10892424.0,11818262.0,11731272.0,0.891772590871124,0.9926393576314352,1.0,Optimal,Optimal
200768,UW,Optimal,14895312.0,Optimal,14373268.0,Optimal,13687050.0,,True,,13687050.0,11474075.0,12615945.0,12478963.0,0.9117350342111704,0.9891421530452138,1.0,Optimal,Optimal
222335,U0,Optimal,13636126.0,Optimal,12141112.0,Optimal,11534841.0,,True,,11534841.0,10274913.0,11099604.0,11036810.0,0.9568237654944702,0.994342681054207,1.0,Optimal,Optimal
222335,UJ,Optimal,11117193.0,Optimal,9651396.0,Optimal,9173128.0,,True,,9173128.0,8314001.0,8678982.0,8503956.0,0.9270508380565495,0.9798333491185948,1.0,Optimal,Optimal
222335,UM,Optimal,13937774.0,Optimal,12331036.0,Optimal,11745739.0,,True,,11745739.0,10687703.0,11233880.0,11038043.0,0.9397487037639777,0.9825672875266604,1.0,Optimal,Optimal
222335,UP,Optimal,12353473.0,Optimal,10780032.0,Optimal,10244732.0,,True,,10244732.0,8941384.0,9768692.0,9649090.0,0.9418587035756524,0.987756600371882,1.0,Optimal,Optimal
222335,UR,Optimal,12912401.0,Optimal,11662369.0,Optimal,11096982.0,,True,,11096982.0,10042185.0,10755252.0,10692230.0,0.963525938854366,0.9941403511512329,1.0,Optimal,Optimal
222335,UW,Optimal,13062069.0,Optimal,11567055.0,Optimal,10989641.0,,True,,10989641.0,9757932.0,10494742.0,10395505.0,0.9459367235017049,0.9905441219993784,1.0,Optimal,Optimal
262122,U0,Optimal,13881073.0,Optimal,13727092.0,Optimal,13082045.0,,True,,13082045.0,10611409.0,12009112.0,11616402.0,0.8879652990033287,0.9672989976278012,1.0,Optimal,Optimal
262122,UJ,Optimal,10931714.0,Optimal,10827494.0,Optimal,10296364.0,,True,,10296364.0,8466164.0,9513383.0,9187475.0,0.8923028556488485,0.9657421550251892,1.0,Optimal,Optimal
262122,UM,Optimal,13503557.0,Optimal,13130617.0,Optimal,12475889.0,,True,,12475889.0,10058960.0,11814223.0,11530694.0,0.9242382647040223,0.9760010455194557,1.0,Optimal,Optimal
262122,UP,Optimal,12041888.0,Optimal,11964176.0,Optimal,11374262.0,,True,,11374262.0,8947329.0,10046853.0,9933548.0,0.8733356063013143,0.9887223392240336,1.0,Optimal,Optimal
262122,UR,Optimal,12838202.0,Optimal,12838202.0,Optimal,12197451.0,,True,,12197451.0,10504257.0,11676709.0,11238538.0,0.9213841482126061,0.9624747863460501,1.0,Optimal,Optimal
262122,UW,Optimal,13891361.0,Optimal,13737380.0,Optimal,13052275.0,,True,,13052275.0,10674564.0,11971545.0,11741296.0,0.899559348849147,0.9807669770276101,1.0,Optimal,Optimal
288572,U0,Optimal,15054825.0,Optimal,14365098.0,Optimal,13650763.0,,True,,13650763.0,10124938.0,11350602.0,11042372.0,0.8089197651442633,0.9728446121183705,1.0,Optimal,Optimal
288572,UJ,Optimal,13908519.0,Optimal,13238303.0,Optimal,12590618.0,,True,,12590618.0,9116209.0,10687748.0,10472403.0,0.8317624281826357,0.9798512277796969,1.0,Optimal,Optimal
288572,UM,Optimal,16018438.0,Optimal,15295096.0,Optimal,14539524.0,,True,,14539524.0,10880921.0,12579169.0,12329858.0,0.8480234978806734,0.9801806462732157,1.0,Optimal,Optimal
288572,UP,Optimal,13693963.0,Optimal,12857409.0,Optimal,12214715.0,,True,,12214715.0,8948647.0,10438997.0,10199866.0,0.8350473997960657,0.9770925310161503,1.0,Optimal,Optimal
288572,UR,Optimal,14311625.0,Optimal,13818183.0,Optimal,13128752.0,,True,,13128752.0,9711288.0,11263534.0,11018966.0,0.839300338676517,0.9782867437520054,1.0,Optimal,Optimal
288572,UW,Optimal,15054825.0,Optimal,14365098.0,Optimal,13650763.0,,True,,13650763.0,10124938.0,11350602.0,11042372.0,0.8089197651442633,0.9728446121183705,1.0,Optimal,Optimal
320290,U0,Optimal,14125749.0,Optimal,14116991.0,Optimal,13411971.0,,True,,13411971.0,11223008.0,12852555.0,12500983.0,0.9320765009110145,0.9726457502029752,1.0,Optimal,Optimal
320290,UJ,Optimal,11361758.0,Optimal,11279328.0,Optimal,10716690.0,,True,,10716690.0,9046283.0,10115180.0,10047827.0,0.9375867921904991,0.9933413938259131,1.0,Optimal,Optimal
320290,UM,Optimal,13558608.0,Optimal,13478968.0,Optimal,12969656.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
320290,UP,Optimal,13004662.0,Optimal,12990288.0,Optimal,12349211.0,,True,,12349211.0,10379065.0,11643716.0,11444779.0,0.9267619607438888,0.9829146468361132,1.0,Optimal,Optimal
320290,UR,Optimal,13646966.0,Optimal,13646966.0,Optimal,12971682.0,,True,,12971682.0,10848884.0,12154867.0,12056947.0,0.9294821596767482,0.9919439677949582,1.0,Optimal,Optimal
320290,UW,Optimal,13402617.0,Optimal,13393863.0,Optimal,12733509.0,,True,,12733509.0,10377470.0,12089545.0,11651113.0,0.9149962512297278,0.9637346153225783,1.0,Optimal,Optimal
321611,U0,Optimal,14446244.0,Optimal,13548340.0,Optimal,12871171.0,,True,,12871171.0,10211148.0,11405320.0,11256622.0,0.8745608305569089,0.9869624000028057,1.0,Optimal,Optimal
321611,UJ,Optimal,13107338.0,Optimal,12686323.0,Optimal,12056501.0,,True,,12056501.0,9335102.0,10835773.0,10457864.0,0.8674045645581583,0.9651239463949641,1.0,Optimal,Optimal
321611,UM,Optimal,15996365.0,Optimal,15242992.0,Optimal,14543438.0,,True,,14543438.0,11510701.0,13156628.0,12916296.0,0.8881184765252893,0.981733009400281,1.0,Optimal,Optimal
321611,UP,Optimal,12248274.0,Optimal,11411993.0,Optimal,10842256.0,,True,,10842256.0,8249503.0,9322816.0,9135259.0,0.8425607179907946,0.9798819369598198,1.0,Optimal,Optimal
321611,UR,Optimal,13814558.0,Optimal,13185266.0,Optimal,12526475.0,,True,,12526475.0,9839599.0,11170857.0,11029337.0,0.8804820989144991,0.9873313211331951,1.0,Optimal,Optimal
321611,UW,Optimal,14500550.0,Optimal,13602652.0,Optimal,12925262.0,,True,,12925262.0,10173421.0,11701601.0,11525967.0,0.8917395252800291,0.9849906008588055,1.0,Optimal,Optimal
331297,U0,Optimal,15814650.0,Optimal,15269506.0,Optimal,14555507.0,,True,,14555507.0,11681842.0,13981819.0,13301649.0,0.9138567966062604,0.9513532538219812,1.0,Optimal,Optimal
331297,UJ,Optimal,14061159.0,Optimal,13519301.0,Optimal,12847264.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
331297,UM,Optimal,16463064.0,Optimal,16005332.0,Optimal,15219609.0,,True,,15219609.0,12257389.0,14566678.0,13914525.0,0.9142498338820663,0.9552298059996933,1.0,Optimal,Optimal
331297,UP,Optimal,14833885.0,Optimal,14139119.0,Optimal,13448786.0,Infeasible,False,proposed.reopt_phase3,,,,,,,,,
331297,UR,Optimal,15161815.0,Optimal,14666650.0,Optimal,13939212.0,,True,,13939212.0,11433284.0,13549539.0,12914128.0,0.9264604053658126,0.9531046037802466,1.0,Optimal,Optimal
331297,UW,Optimal,15093669.0,Optimal,14548525.0,Optimal,13822645.0,,True,,13822645.0,11049075.0,13401573.0,12684898.0,0.9176896317600575,0.9465230685979922,1.0,Optimal,Optimal
385101,U0,Optimal,16607005.0,Optimal,14199009.0,Optimal,13497163.0,,True,,13497163.0,11318677.0,13148351.0,12988869.0,0.9623406785559306,0.987870570233484,1.0,Optimal,Optimal
385101,UJ,Optimal,13439089.0,Optimal,11849074.0,Optimal,11262038.0,,True,,11262038.0,9717052.0,11030584.0,10891095.0,0.9670625334419933,0.9873543413476566,1.0,Optimal,Optimal
385101,UM,Optimal,15122522.0,Optimal,13107218.0,Optimal,12460505.0,,True,,12460505.0,11148635.0,12145044.0,12028804.0,0.9653544539326456,0.9904290177952423,1.0,Optimal,Optimal
