condition,method,state,metric,analysis_scope,n,mean,sd,median,min,max
U0,B1,PLANNED,cash,all_30,30,14729243.266666668,1631754.4244390693,14581457.0,11907597.0,17924836.0
U0,B2,PLANNED,cash,all_30,30,14006371.633333333,1503411.3083689897,13816291.5,11907597.0,17152116.0
U0,B3,PLANNED,cash,all_30,30,13314895.866666667,1432426.0802319748,13126546.5,11317399.0,16331308.0
U0,PROPOSED,PLANNED,cash,optimal_only,26,13361873.5,1430751.4856388234,13126546.5,11317399.0,16331308.0
U0,PROPOSED,INITIAL_REALIZED,cash,optimal_only,26,10880986.423076924,1022609.4077406945,10711398.0,9187238.0,12797649.0
U0,PROPOSED,RECOMMENDED_REVISED,cash,optimal_only,26,12207736.73076923,1344680.9542051097,11666591.0,10096135.0,14603372.0
U0,PROPOSED,FINAL_REALIZED,cash,optimal_only,26,11961110.307692308,1267604.0933540335,11517925.5,9866936.0,14341497.0
U0,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,26,0.8960488273600744,0.039264927753578836,0.8872859208628667,0.8089197651442633,0.971140387287876
U0,PROPOSED,FINAL_vs_RECOMMENDED,ratio,optimal_only,26,0.9803715088218778,0.0172403358383293,0.9873119643838607,0.9163346672336937,0.9970071236995627
UW,B1,PLANNED,cash,all_30,30,14698197.566666666,1799475.2913383443,14650413.5,11620318.0,17949931.0
UW,B2,PLANNED,cash,all_30,30,13936387.733333332,1618487.093841332,13668137.0,11567055.0,17167719.0
UW,B3,PLANNED,cash,all_30,30,13248001.1,1536539.673255761,12994649.0,10989641.0,16321444.0
UW,PROPOSED,PLANNED,cash,optimal_only,27,13325172.25925926,1573375.4781438143,13050783.0,10989641.0,16321444.0
UW,PROPOSED,INITIAL_REALIZED,cash,optimal_only,27,10930714.25925926,1229449.4923096083,10653837.0,9119862.0,13541465.0
UW,PROPOSED,RECOMMENDED_REVISED,cash,optimal_only,27,12260557.148148147,1524672.3842784846,11806960.0,9565360.0,15281148.0
UW,PROPOSED,FINAL_REALIZED,cash,optimal_only,27,12001990.629629629,1461119.1572322526,11532198.0,9488510.0,15117794.0
UW,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,27,0.9011110384498765,0.03833132682692351,0.9021049144395714,0.8089197651442633,0.9664773304095349
UW,PROPOSED,FINAL_vs_RECOMMENDED,ratio,optimal_only,27,0.9793823133986939,0.017557534315055714,0.985340465046817,0.919516006423417,0.9960460271404313
UM,B1,PLANNED,cash,all_30,30,15030941.8,2116714.477820226,15096079.5,10867927.0,18853433.0
UM,B2,PLANNED,cash,all_30,30,14315084.266666668,1970453.625655549,14074226.5,10864387.0,18537056.0
UM,B3,PLANNED,cash,all_30,30,13612985.633333333,1870257.8844251893,13378908.5,10329603.0,17610293.0
UM,PROPOSED,PLANNED,cash,optimal_only,24,13864143.333333334,1840121.699543755,13664185.5,10808318.0,17610293.0
UM,PROPOSED,INITIAL_REALIZED,cash,optimal_only,24,11394540.375,1389367.6035415416,11286014.0,8780425.0,14310953.0
UM,PROPOSED,RECOMMENDED_REVISED,cash,optimal_only,24,12744140.791666666,1689369.3221266095,12533902.0,9662847.0,16247898.0
UM,PROPOSED,FINAL_REALIZED,cash,optimal_only,24,12456423.833333334,1560230.5337124874,12373078.5,9472974.0,15046782.0
UM,PROPOSED,FINAL_vs_PLANNED,ratio,optimal_only,24,0.8999698413997995,0.039794821286969026,0.9040094807850534,0.8286237486224676,0.9653544539326456
UM,PROPOSED,FINAL_vs_RECOMMENDED,ratio,optimal_only,24,0.9783342722930563,0.018770115867705457,0.9825893774057959,0.9090474349358914,0.9945157335089494
UR,B1,PLANNED,cash,all_30,30,13970423.966666667,1572254.6058455624,13981745.0,11385861.0,16719066.0
