Family,Parameter,Optimal runs,Optimal rate,95% Wilson CI
PRIMARY,publication_config,26/30,86.67%,70.32%?94.69%
UNCERTAINTY,U0,26/30,86.67%,70.32%?94.69%
UNCERTAINTY,UW,27/30,90.00%,74.38%?96.54%
UNCERTAINTY,UM,24/30,80.00%,62.69%?90.49%
UNCERTAINTY,UR,26/30,86.67%,70.32%?94.69%
UNCERTAINTY,UP,25/30,83.33%,66.44%?92.66%
UNCERTAINTY,UJ,25/30,83.33%,66.44%?92.66%
EPSILON_SENSITIVITY,epsilon=0.8,30/30,100.00%,88.65%?100.00%
EPSILON_SENSITIVITY,epsilon=0.9,30/30,100.00%,88.65%?100.00%
EPSILON_SENSITIVITY,epsilon=0.95,30/30,100.00%,88.65%?100.00%
EPSILON_SENSITIVITY,epsilon=1.0,28/30,93.33%,78.68%?98.15%
LAMBDA_STABILITY,lambda=0.0,26/30,86.67%,70.32%?94.69%
LAMBDA_STABILITY,lambda=0.05,26/30,86.67%,70.32%?94.69%
LAMBDA_STABILITY,lambda=0.1,26/30,86.67%,70.32%?94.69%
LAMBDA_STABILITY,lambda=0.25,26/30,86.67%,70.32%?94.69%
LAMBDA_STABILITY,lambda=0.5,26/30,86.67%,70.32%?94.69%
LAMBDA_STABILITY,lambda=1.0,26/30,86.67%,70.32%?94.69%
ALPHA_CONCENTRATION,alpha=1.0,26/30,86.67%,70.32%?94.69%
ALPHA_CONCENTRATION,alpha=0.6,26/30,86.67%,70.32%?94.69%
ALPHA_CONCENTRATION,alpha=0.5,26/30,86.67%,70.32%?94.69%
ALPHA_CONCENTRATION,alpha=0.4,26/30,86.67%,70.32%?94.69%
ALPHA_CONCENTRATION,alpha=0.33,26/30,86.67%,70.32%?94.69%
ACTION_ROBUSTNESS,PRIMARY,26/30,86.67%,70.32%?94.69%
ACTION_ROBUSTNESS,S1,27/30,90.00%,74.38%?96.54%
ACTION_ROBUSTNESS,S2,25/30,83.33%,66.44%?92.66%
SCALABILITY,n=25,2/30,6.67%,1.85%?21.32%
SCALABILITY,n=50,4/30,13.33%,5.31%?29.68%
SCALABILITY,n=100,10/30,33.33%,19.23%?51.22%
SCALABILITY,n=250,26/30,86.67%,70.32%?94.69%
SCALABILITY,n=500,26/30,86.67%,70.32%?94.69%
