farmer_id,plot_id,crop,area_ha,cash_net,status_label
F0001,F0001-P03,onion,3.466,258775.0,unchanged
F0003,F0003-P01,groundnut,0.071,7530.0,soft_changed
F0004,F0004-P01,maize,0.149,4873.0,unchanged
F0005,F0005-P01,soybean,0.636,3669.0,unchanged
F0005,F0005-P02,onion,0.239,17844.0,unchanged
F0006,F0006-P01,maize,0.572,18705.0,unchanged
F0007,F0007-P02,maize,1.66,54285.0,unchanged
F0010,F0010-P01,soybean,0.36,5025.0,unchanged
F0012,F0012-P02,maize,0.2,6540.0,unchanged
F0013,F0013-P01,maize,0.682,12695.0,unchanged
F0015,F0015-P02,soybean,0.162,935.0,unchanged
F0017,F0017-P02,onion,2.353,305486.0,unchanged
F0017,F0017-P03,pigeon_pea,3.55,139236.0,REVISED_OFFER_recovered
F0017,F0017-P05,onion,3.281,425966.0,unchanged
F0018,F0018-P02,onion,0.175,22720.0,unchanged
F0019,F0019-P01,rice,0.75,5030.0,unchanged
F0020,F0020-P01,maize,1.715,31923.0,flex_changed
F0020,F0020-P02,maize,0.541,10070.0,flex_changed
F0025,F0025-P01,sorghum,0.056,880.0,REVISED_OFFER_recovered
F0027,F0027-P01,maize,2.464,80577.0,unchanged
F0027,F0027-P03,maize,0.786,25704.0,unchanged
F0030,F0030-P02,maize,0.268,8764.0,unchanged
F0031,F0031-P01,maize,0.326,6068.0,flex_changed
F0031,F0031-P02,sorghum,0.524,8237.0,REVISED_OFFER_recovered
F0031,F0031-P03,maize,0.85,15822.0,unchanged
F0033,F0033-P01,maize,0.226,7391.0,unchanged
F0035,F0035-P01,rice,0.421,2824.0,unchanged
F0035,F0035-P02,rice,0.249,1670.0,unchanged
F0037,F0037-P01,rice,0.368,2468.0,unchanged
F0038,F0038-P01,pigeon_pea,0.754,29573.0,unchanged
F0038,F0038-P02,onion,3.141,407791.0,unchanged
F0039,F0039-P01,maize,0.502,16416.0,unchanged
F0040,F0040-P03,soybean,1.949,11244.0,unchanged
F0041,F0041-P01,groundnut,0.042,2645.0,unchanged
F0042,F0042-P01,maize,0.315,10301.0,unchanged
F0043,F0043-P01,onion,0.269,20084.0,unchanged
F0045,F0045-P01,soybean,0.324,1869.0,unchanged
F0047,F0047-P02,maize,0.215,7031.0,unchanged
F0048,F0048-P01,rice,0.046,309.0,unchanged
F0049,F0049-P01,soybean,0.983,5671.0,unchanged
F0050,F0050-P01,maize,0.848,15785.0,unchanged
F0050,F0050-P02,maize,0.052,968.0,unchanged
F0050,F0050-P03,onion,0.173,22460.0,unchanged
F0051,F0051-P01,maize,0.675,12564.0,REVISED_OFFER_recovered
F0055,F0055-P01,sorghum,0.412,6476.0,unchanged
F0056,F0056-P02,rice,0.087,584.0,unchanged
F0062,F0062-P01,sorghum,0.598,9400.0,unchanged
F0064,F0064-P01,rice,1.05,7043.0,unchanged
F0064,F0064-P02,rice,2.003,13435.0,unchanged
F0066,F0066-P01,rice,0.449,3012.0,unchanged
F0068,F0068-P01,onion,0.742,96333.0,unchanged
F0068,F0068-P02,sorghum,0.722,11349.0,unchanged
F0068,F0068-P03,onion,0.125,16229.0,unchanged
F0070,F0070-P01,maize,0.858,15971.0,unchanged
F0071,F0071-P01,maize,1.634,53435.0,unchanged
F0072,F0072-P02,maize,0.211,3928.0,unchanged
F0074,F0074-P01,groundnut,0.093,9863.0,soft_changed
F0074,F0074-P02,rice,1.86,12475.0,unchanged
F0077,F0077-P01,maize,0.118,3859.0,unchanged
F0078,F0078-P01,maize,1.229,22877.0,unchanged
F0078,F0078-P02,maize,0.904,16827.0,unchanged
F0078,F0078-P03,maize,3.58,66638.0,unchanged
F0079,F0079-P02,onion,0.453,58812.0,unchanged
F0080,F0080-P01,onion,0.163,12170.0,unchanged
F0080,F0080-P02,soybean,1.809,10436.0,unchanged
F0082,F0082-P02,onion,0.245,31808.0,flex_changed
F0083,F0083-P01,rice,0.708,4749.0,unchanged
F0084,F0084-P01,maize,1.727,56476.0,unchanged
F0084,F0084-P02,maize,2.692,88033.0,unchanged
F0085,F0085-P01,rice,0.7,4695.0,REVISED_OFFER_recovered
F0086,F0086-P02,maize,0.206,6737.0,unchanged
F0089,F0089-P01,maize,0.324,10595.0,unchanged
F0090,F0090-P01,rice,0.169,1134.0,unchanged
F0090,F0090-P02,rice,3.329,22328.0,unchanged
F0091,F0091-P01,soybean,0.59,3404.0,unchanged
F0092,F0092-P02,rice,1.999,13408.0,unchanged
F0093,F0093-P01,maize,0.648,21191.0,unchanged
F0094,F0094-P01,rice,1.125,7546.0,unchanged
F0102,F0102-P01,rice,0.063,423.0,unchanged
F0103,F0103-P01,sorghum,0.915,14383.0,REVISED_OFFER_recovered
F0105,F0105-P04,soybean,2.488,14354.0,unchanged
F0106,F0106-P01,onion,0.586,76079.0,unchanged
F0107,F0107-P02,maize,0.658,21518.0,unchanged
F0108,F0108-P01,rice,0.76,5098.0,unchanged
F0108,F0108-P03,rice,1.554,10423.0,unchanged
F0109,F0109-P02,maize,0.626,20471.0,unchanged
F0110,F0110-P02,sorghum,0.201,3160.0,unchanged
F0110,F0110-P03,sorghum,0.185,2908.0,unchanged
F0114,F0114-P01,maize,0.584,19098.0,unchanged
F0115,F0115-P02,maize,1.005,32865.0,unchanged
F0115,F0115-P03,maize,1.738,56836.0,unchanged
F0116,F0116-P02,rice,0.702,4708.0,unchanged
F0117,F0117-P02,rice,1.56,10463.0,unchanged
F0119,F0119-P01,soybean,0.298,1719.0,unchanged
F0121,F0121-P01,soybean,0.919,5302.0,unchanged
F0122,F0122-P01,maize,0.277,9058.0,unchanged
F0123,F0123-P01,maize,0.987,18372.0,soft_changed
F0126,F0126-P01,maize,1.9,35367.0,unchanged
F0126,F0126-P02,maize,5.549,103289.0,unchanged
F0127,F0127-P01,maize,0.365,6794.0,flex_changed
F0128,F0128-P01,groundnut,0.263,27893.0,flex_changed
F0128,F0128-P03,rice,0.279,1871.0,unchanged
F0129,F0129-P01,onion,0.43,55826.0,unchanged
F0129,F0129-P02,pigeon_pea,1.332,52243.0,unchanged
F0130,F0130-P01,maize,0.225,7358.0,unchanged
F0131,F0131-P01,rice,0.04,268.0,unchanged
F0131,F0131-P02,rice,0.772,5178.0,unchanged
F0133,F0133-P01,soybean,0.314,1812.0,REVISED_OFFER_recovered
F0135,F0135-P01,groundnut,0.243,25772.0,unchanged
F0136,F0136-P02,maize,0.055,1799.0,unchanged
F0138,F0138-P02,rice,0.725,4863.0,unchanged
F0138,F0138-P03,groundnut,6.082,645030.0,unchanged
F0139,F0139-P02,maize,0.272,8895.0,unchanged
F0141,F0141-P02,sorghum,0.123,1933.0,unchanged
F0142,F0142-P01,maize,0.89,16566.0,unchanged
F0145,F0145-P01,onion,0.088,11425.0,soft_changed
F0145,F0145-P02,sorghum,0.835,13125.0,unchanged
F0146,F0146-P01,maize,0.047,1537.0,unchanged
F0147,F0147-P02,onion,0.239,31029.0,unchanged
F0148,F0148-P01,groundnut,3.06,324530.0,unchanged
F0149,F0149-P01,maize,0.926,30282.0,unchanged
F0150,F0150-P02,maize,0.439,8172.0,unchanged
F0150,F0150-P03,onion,0.738,95813.0,unchanged
F0152,F0152-P03,soybean,2.36,13615.0,unchanged
F0153,F0153-P03,groundnut,0.558,59179.0,unchanged
F0154,F0154-P01,maize,2.265,74070.0,unchanged
F0156,F0156-P01,maize,0.489,9102.0,unchanged
F0156,F0156-P02,onion,1.288,167219.0,unchanged
F0156,F0156-P03,maize,1.67,31085.0,unchanged
F0158,F0158-P02,rice,3.487,23388.0,unchanged
F0159,F0159-P01,rice,1.784,11966.0,unchanged
F0160,F0160-P03,groundnut,0.541,57376.0,unchanged
F0162,F0162-P01,rice,1.342,9001.0,unchanged
F0163,F0163-P01,rice,0.24,1610.0,unchanged
F0166,F0166-P01,rice,0.388,2602.0,unchanged
F0167,F0167-P01,rice,0.778,5218.0,unchanged
F0169,F0169-P02,onion,0.025,1867.0,unchanged
F0175,F0175-P01,maize,1.945,36204.0,REVISED_OFFER_recovered
F0177,F0177-P01,pigeon_pea,1.952,76560.0,unchanged
F0178,F0178-P01,maize,1.943,36167.0,REVISED_OFFER_recovered
F0178,F0178-P02,onion,0.353,45829.0,unchanged
F0179,F0179-P01,pigeon_pea,0.603,23650.0,flex_changed
F0179,F0179-P02,onion,0.466,60500.0,REVISED_OFFER_recovered
F0180,F0180-P01,groundnut,0.09,5667.0,unchanged
F0181,F0181-P02,onion,1.579,204999.0,unchanged
F0183,F0183-P01,maize,0.982,18279.0,unchanged
F0188,F0188-P01,maize,0.327,6087.0,unchanged
F0188,F0188-P02,pigeon_pea,3.769,147825.0,unchanged
F0188,F0188-P03,onion,0.247,32068.0,unchanged
F0188,F0188-P04,maize,0.806,15003.0,unchanged
F0189,F0189-P01,onion,0.532,69069.0,unchanged
F0190,F0190-P01,maize,0.656,21452.0,unchanged
F0192,F0192-P02,groundnut,0.482,51119.0,unchanged
F0193,F0193-P01,sorghum,4.482,70453.0,REVISED_OFFER_recovered
F0193,F0193-P02,maize,1.371,25520.0,unchanged
F0194,F0194-P01,onion,0.423,54917.0,unchanged
F0195,F0195-P01,soybean,1.775,10240.0,unchanged
F0198,F0198-P01,pigeon_pea,0.616,24160.0,flex_changed
F0200,F0200-P01,onion,0.035,4544.0,flex_changed
F0201,F0201-P01,onion,0.124,9258.0,unchanged
F0202,F0202-P01,maize,0.157,5134.0,unchanged
F0202,F0202-P03,maize,1.465,47908.0,unchanged
F0203,F0203-P01,soybean,1.142,6588.0,unchanged
F0204,F0204-P01,maize,0.299,5566.0,soft_changed
F0205,F0205-P01,onion,0.968,125674.0,unchanged
F0205,F0205-P02,maize,0.497,9251.0,soft_changed
F0207,F0207-P02,groundnut,0.094,9969.0,soft_changed
F0208,F0208-P01,soybean,0.214,1235.0,unchanged
F0211,F0211-P01,groundnut,0.248,26302.0,flex_changed
F0211,F0211-P02,rice,0.119,798.0,unchanged
F0212,F0212-P01,pigeon_pea,1.116,43771.0,unchanged
F0212,F0212-P02,maize,0.058,1080.0,unchanged
F0213,F0213-P01,onion,0.607,78806.0,unchanged
F0215,F0215-P01,soybean,0.37,2135.0,unchanged
F0216,F0216-P01,onion,0.427,55437.0,soft_changed
F0219,F0219-P01,maize,0.555,10331.0,flex_changed
F0220,F0220-P02,maize,0.538,10014.0,unchanged
F0221,F0221-P01,soybean,0.342,1973.0,unchanged
F0222,F0222-P04,groundnut,2.581,273730.0,unchanged
F0227,F0227-P01,rice,0.347,2327.0,unchanged
F0228,F0228-P01,maize,0.256,8372.0,unchanged
F0230,F0230-P01,maize,0.887,16511.0,unchanged
F0233,F0233-P01,rice,0.512,3434.0,unchanged
F0234,F0234-P01,pigeon_pea,0.329,12904.0,REVISED_OFFER_recovered
F0234,F0234-P02,maize,0.588,10945.0,unchanged
F0236,F0236-P02,soybean,1.545,8913.0,unchanged
F0237,F0237-P01,pigeon_pea,0.913,35809.0,unchanged
F0238,F0238-P01,onion,0.196,25446.0,flex_changed
F0239,F0239-P02,groundnut,0.341,21473.0,unchanged
F0240,F0240-P01,maize,1.178,21927.0,flex_changed
F0242,F0242-P03,rice,2.528,16956.0,unchanged
F0243,F0243-P02,groundnut,0.044,4666.0,unchanged
F0245,F0245-P01,onion,1.526,198118.0,unchanged
F0245,F0245-P02,maize,1.287,23956.0,unchanged
F0245,F0245-P03,rice,1.163,6618.0,unchanged
F0247,F0247-P02,groundnut,0.124,13151.0,soft_changed
F0248,F0248-P02,groundnut,0.034,3606.0,unchanged
F0251,F0251-P01,soybean,0.335,1933.0,unchanged
F0252,F0252-P01,soybean,0.34,1962.0,unchanged
F0253,F0253-P02,maize,0.137,2550.0,unchanged
F0254,F0254-P01,soybean,0.322,4494.0,unchanged
F0258,F0258-P02,maize,0.126,4120.0,unchanged
F0259,F0259-P02,onion,0.089,6645.0,unchanged
F0262,F0262-P01,rice,0.899,6030.0,unchanged
F0262,F0262-P02,rice,0.066,443.0,unchanged
F0267,F0267-P01,maize,1.037,33912.0,unchanged
F0268,F0268-P01,rice,0.553,3709.0,unchanged
F0269,F0269-P02,maize,1.008,32963.0,unchanged
F0277,F0277-P01,rice,0.224,1502.0,unchanged
F0279,F0279-P02,rice,0.275,1844.0,unchanged
F0280,F0280-P01,onion,0.201,26095.0,unchanged
F0280,F0280-P02,maize,0.735,13681.0,soft_changed
F0281,F0281-P02,rice,0.353,2368.0,unchanged
F0282,F0282-P01,groundnut,0.117,12409.0,REVISED_OFFER_recovered
F0284,F0284-P01,rice,0.297,1992.0,unchanged
F0285,F0285-P01,sorghum,0.418,6571.0,unchanged
F0286,F0286-P02,onion,0.15,19474.0,unchanged
F0288,F0288-P03,maize,4.304,140748.0,unchanged
F0290,F0290-P02,maize,0.021,687.0,unchanged
F0291,F0291-P02,onion,0.606,45245.0,unchanged
F0293,F0293-P01,groundnut,1.308,138721.0,unchanged
F0294,F0294-P01,rice,0.701,4702.0,unchanged
F0296,F0296-P01,cotton,0.475,15920.0,unchanged
F0297,F0297-P02,rice,0.568,3810.0,unchanged
F0299,F0299-P01,soybean,0.374,2158.0,unchanged
F0304,F0304-P01,onion,0.193,14410.0,unchanged
F0305,F0305-P01,rice,0.395,2649.0,unchanged
F0309,F0309-P01,onion,0.64,83090.0,unchanged
F0309,F0309-P03,onion,0.057,7400.0,unchanged
F0313,F0313-P01,maize,0.802,14928.0,flex_changed
F0314,F0314-P01,maize,0.794,25965.0,unchanged
F0316,F0316-P01,groundnut,0.294,31180.0,soft_changed
F0317,F0317-P01,soybean,1.849,10667.0,unchanged
F0317,F0317-P02,soybean,1.642,9473.0,unchanged
F0318,F0318-P01,rice,0.575,3857.0,unchanged
F0318,F0318-P02,groundnut,2.307,244670.0,unchanged
F0318,F0318-P03,groundnut,2.726,289108.0,unchanged
F0319,F0319-P01,rice,0.132,885.0,unchanged
F0322,F0322-P02,groundnut,0.31,32877.0,REVISED_OFFER_recovered
F0323,F0323-P01,pigeon_pea,0.429,16826.0,soft_changed
F0328,F0328-P04,onion,2.257,168510.0,unchanged
F0329,F0329-P01,maize,0.481,15730.0,unchanged
F0330,F0330-P01,rice,1.144,7673.0,unchanged
F0334,F0334-P02,maize,0.271,8862.0,unchanged
F0337,F0337-P02,groundnut,0.149,15802.0,unchanged
F0339,F0339-P01,onion,0.132,9855.0,unchanged
F0340,F0340-P01,rice,0.557,3736.0,unchanged
F0341,F0341-P02,groundnut,0.434,46028.0,unchanged
F0342,F0342-P01,rice,0.535,3044.0,unchanged
F0346,F0346-P01,maize,0.75,24526.0,unchanged
F0348,F0348-P01,rice,0.382,2562.0,unchanged
F0350,F0350-P02,rice,0.26,1744.0,unchanged
F0351,F0351-P01,groundnut,0.363,38498.0,soft_changed
F0352,F0352-P01,soybean,0.31,1788.0,unchanged
F0354,F0354-P01,onion,7.071,918016.0,unchanged
F0354,F0354-P02,maize,2.105,39183.0,unchanged
F0355,F0355-P02,groundnut,0.511,54194.0,soft_changed
F0356,F0356-P02,maize,0.079,2583.0,unchanged
F0358,F0358-P02,pigeon_pea,0.111,4354.0,unchanged
F0359,F0359-P01,pigeon_pea,0.942,36947.0,unchanged
F0363,F0363-P01,rice,1.026,6882.0,unchanged
F0365,F0365-P02,soybean,0.453,2613.0,unchanged
