alpha,crop,Q_c,producers,LPS,top3_share,HHI,effective_producers
1.0,onion,616175.3,49,0.152,0.3677,0.0691,14.48
1.0,groundnut,54768.9,35,0.217,0.5057,0.1117,8.95
1.0,maize,372636.0,93,0.0597,0.1625,0.0241,41.49
1.0,soybean,46431.3,36,0.1181,0.2939,0.0546,18.31
1.0,pigeon_pea,12873.6,14,0.2248,0.5529,0.1319,7.58
1.0,rice,149013.0,60,0.0663,0.1903,0.032,31.29
1.0,sorghum,23474.5,16,0.3063,0.5533,0.1494,6.69
1.0,cotton,2321.7,4,0.529,0.9155,0.3698,2.7
0.6,onion,616175.3,49,0.152,0.3677,0.0691,14.48
0.6,groundnut,54768.9,35,0.217,0.5057,0.1117,8.95
0.6,maize,372636.0,93,0.0597,0.1625,0.0241,41.49
0.6,soybean,46431.3,36,0.1181,0.2939,0.0546,18.31
0.6,pigeon_pea,12873.6,14,0.2248,0.5529,0.1319,7.58
0.6,rice,149013.0,60,0.0663,0.1903,0.032,31.29
0.6,sorghum,23474.5,16,0.3063,0.5533,0.1494,6.69
0.6,cotton,2321.7,4,0.529,0.9155,0.3698,2.7
0.5,onion,614519.3,49,0.1524,0.3687,0.0694,14.42
0.5,groundnut,54768.9,35,0.217,0.5057,0.1117,8.95
0.5,maize,372636.0,93,0.0597,0.1625,0.0241,41.49
0.5,soybean,46431.3,36,0.1181,0.2939,0.0546,18.31
0.5,pigeon_pea,12873.6,14,0.2248,0.5529,0.1319,7.58
0.5,rice,149013.0,60,0.0663,0.1903,0.032,31.29
0.5,sorghum,23474.5,16,0.3063,0.5533,0.1494,6.69
0.5,cotton,2478.8,5,0.4954,0.8575,0.3284,3.04
0.4,onion,610001.8,48,0.1536,0.3714,0.0704,14.21
0.4,groundnut,54768.9,35,0.217,0.5057,0.1117,8.95
0.4,maize,374026.8,94,0.0594,0.1619,0.0239,41.78
0.4,soybean,46431.3,36,0.1181,0.2939,0.0546,18.31
0.4,pigeon_pea,12410.6,13,0.2331,0.5735,0.1406,7.11
0.4,rice,149013.0,60,0.0663,0.1903,0.032,31.29
0.4,sorghum,23474.5,16,0.3063,0.5533,0.1494,6.69
0.4,cotton,3079.7,5,0.3988,0.8388,0.2708,3.69
0.33,onion,603205.6,46,0.1553,0.3756,0.0718,13.93
0.33,groundnut,54768.9,35,0.217,0.5057,0.1117,8.95
0.33,maize,374026.8,94,0.0594,0.1619,0.0239,41.78
0.33,soybean,46431.3,36,0.1181,0.2939,0.0546,18.31
0.33,pigeon_pea,12410.6,13,0.2331,0.5735,0.1406,7.11
0.33,rice,149013.0,60,0.0663,0.1903,0.032,31.29
0.33,sorghum,23474.5,16,0.3063,0.5533,0.1494,6.69
0.33,cotton,3724.5,8,0.3297,0.6936,0.2012,4.97
