alpha,zone,affected_farmers,affected_plots,affected_area_ha,immediate_cash_loss,immediate_remaining_cash,total_cash_before,failed_stage,cbc_status,e_star_status,t_floor_status,final_status,backup_optimal,cause,numerical_floor_tol,post_reopt_cash,cash_retention_vs_preshock,recovered_vs_immediate,recovery_fraction_of_immediate_loss,soft_changes,flex_changes,surviving_hard_lock_changes,failed_plots_reused,conc_violations,per_ha_gini_all,hard_violations
1.0,R1-HZ1,35,36,27.0,883865,11456654,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11456654,0.9284,0,0.0,13,17,0,False,0,0.7678,0
1.0,R1-HZ2,24,24,15.3,501218,11839301,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11839301,0.9594,0,0.0,13,17,0,False,0,0.7516,0
1.0,R1-HZ3,6,6,10.1,331531,12008988,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12008988,0.9731,0,0.0,13,17,0,False,0,0.734,0
1.0,R2-HZ1,31,31,24.9,359795,11980724,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11980724,0.9708,0,0.0,13,17,0,False,0,0.7486,0
1.0,R2-HZ2,11,11,6.7,108109,12232410,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12232410,0.9912,0,0.0,12,17,0,False,0,0.7371,0
1.0,R2-HZ3,5,5,8.5,287805,12052714,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12052714,0.9767,0,0.0,13,17,0,False,0,0.7322,0
1.0,R3-HZ1,50,50,30.1,1055778,11284741,12340519,,Optimal,Optimal,Optimal,Optimal,True,B_numerical,1e-07,11293675,0.9152,8934,0.0085,9,15,0,False,0,0.7617,0
1.0,R3-HZ2,37,37,30.9,933311,11407208,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11476041,0.9299,68833,0.0738,9,17,0,False,0,0.7526,0
1.0,R3-HZ3,9,9,15.2,1129511,11211008,12340519,,Optimal,Optimal,Optimal,Optimal,True,B_numerical,1e-07,11237137,0.9106,26129,0.0231,13,18,0,False,0,0.7356,0
1.0,R4-HZ1,3,3,0.6,40616,12299903,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12299903,0.9967,0,0.0,13,17,0,False,0,0.7327,0
1.0,R4-HZ2,2,2,0.8,50754,12289765,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12289765,0.9959,0,0.0,13,17,0,False,0,0.7322,0
1.0,R5-HZ1,72,73,67.6,3604702,8735817,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,8737995,0.7081,2178,0.0006,10,7,0,False,0,0.7744,0
1.0,R5-HZ2,42,43,40.2,2488817,9851702,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,9960740,0.8072,109038,0.0438,13,13,0,False,0,0.7384,0
1.0,R5-HZ3,13,13,13.9,564707,11775812,12340519,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11775812,0.9542,0,0.0,13,17,0,False,0,0.7294,0
0.4,R1-HZ1,35,36,27.0,883865,11401389,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11401389,0.9281,0,0.0,13,17,0,False,0,0.7667,0
0.4,R1-HZ2,24,24,15.3,501218,11784036,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11784036,0.9592,0,0.0,13,17,0,False,0,0.7504,0
0.4,R1-HZ3,6,6,10.1,331531,11953723,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11953723,0.973,0,0.0,13,17,0,False,0,0.7328,0
0.4,R2-HZ1,31,31,24.9,359795,11925459,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11925459,0.9707,0,0.0,13,17,0,False,0,0.7474,0
0.4,R2-HZ2,11,11,6.7,108109,12177145,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12177145,0.9912,0,0.0,12,17,0,False,0,0.7359,0
0.4,R2-HZ3,5,5,8.5,287805,11997449,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11997449,0.9766,0,0.0,13,17,0,False,0,0.7309,0
0.4,R3-HZ1,50,50,30.1,1055778,11229476,12285254,,Optimal,Optimal,Optimal,Optimal,True,B_numerical,1e-07,11238410,0.9148,8934,0.0085,9,15,0,False,0,0.7605,0
0.4,R3-HZ2,37,37,30.9,933311,11351943,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11420776,0.9296,68833,0.0738,9,17,0,False,0,0.7513,0
0.4,R3-HZ3,9,9,15.2,1129511,11155743,12285254,,Optimal,Optimal,Optimal,Optimal,True,B_numerical,1e-07,11181872,0.9102,26129,0.0231,13,18,0,False,0,0.7343,0
0.4,R4-HZ1,3,3,0.6,40616,12244638,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12244638,0.9967,0,0.0,13,17,0,False,0,0.7314,0
0.4,R4-HZ2,2,2,0.8,50754,12234500,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12234500,0.9959,0,0.0,13,17,0,False,0,0.7309,0
0.4,R5-HZ1,72,73,67.6,3601263,8683991,12285254,E*_shock,Infeasible,Infeasible,,,False,A_genuine_infeasible,,,,,,,,,,,,
0.4,R5-HZ2,42,43,40.2,2436991,9848263,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,9858299,0.8024,10036,0.0041,14,14,0,False,0,0.7375,0
0.4,R5-HZ3,13,13,13.9,564707,11720547,12285254,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11720547,0.954,0,0.0,13,17,0,False,0,0.728,0
0.33,R1-HZ1,35,36,27.0,883865,11351981,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11351981,0.9278,0,0.0,14,18,0,False,0,0.7671,0
0.33,R1-HZ2,24,24,15.3,501218,11734628,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11734628,0.959,0,0.0,14,18,0,False,0,0.7509,0
0.33,R1-HZ3,6,6,10.1,331531,11904315,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11904315,0.9729,0,0.0,14,18,0,False,0,0.7332,0
0.33,R2-HZ1,31,31,24.9,359795,11876051,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11876051,0.9706,0,0.0,14,18,0,False,0,0.7479,0
0.33,R2-HZ2,11,11,6.7,108109,12127737,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12127737,0.9912,0,0.0,13,18,0,False,0,0.7363,0
0.33,R2-HZ3,5,5,8.5,287805,11948041,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11948041,0.9765,0,0.0,14,18,0,False,0,0.7314,0
0.33,R3-HZ1,50,50,30.1,1055778,11180068,12235846,,Optimal,Optimal,Optimal,Optimal,True,B_numerical,1e-07,11189002,0.9144,8934,0.0085,10,16,0,False,0,0.761,0
0.33,R3-HZ2,37,37,30.9,933311,11302535,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11371368,0.9293,68833,0.0738,10,18,0,False,0,0.7518,0
0.33,R3-HZ3,9,9,15.2,1129511,11106335,12235846,,Optimal,Optimal,Optimal,Optimal,True,B_numerical,1e-07,11132464,0.9098,26129,0.0231,14,19,0,False,0,0.7348,0
0.33,R4-HZ1,3,3,0.6,40616,12195230,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12195230,0.9967,0,0.0,14,18,0,False,0,0.7318,0
0.33,R4-HZ2,2,2,0.8,50754,12185092,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,12185092,0.9959,0,0.0,14,18,0,False,0,0.7314,0
0.33,R5-HZ1,72,73,67.6,3597892,8637954,12235846,E*_shock,Infeasible,Infeasible,,,False,A_genuine_infeasible,,,,,,,,,,,,
0.33,R5-HZ2,42,43,40.2,2402993,9832853,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,9786821,0.7998,-46032,-0.0192,13,14,0,False,0,0.7384,0
0.33,R5-HZ3,13,13,13.9,552668,11683178,12235846,,Optimal,Optimal,Optimal,Optimal,True,clean,1e-07,11664109,0.9533,-19069,-0.0345,13,18,0,False,0,0.7259,0
