alpha,target_crop,failed_farmer,pre_shock_LPS,immediate_target_loss_fraction,lps_match,failed_area_ha,affected_allocations,total_cash_before,immediate_remaining_cash,immediate_cash_loss,failed_stage,cbc_status,backup_optimal,post_reopt_cash,recovery_fraction_of_immediate_loss,target_prod_before,target_prod_after_reopt,soft_changes,flex_changes,surviving_hard_lock_changes,failed_plots_reused,conc_violations,per_ha_gini_all,hard_violations
1.0,cotton,F0436,0.529,0.529,True,0.98,1,12340519,12307773,32746,,Optimal,True,12307773,0.0,2321.7,1093.6,13,17,0,False,0,0.731,0
1.0,groundnut,F0138,0.217,0.217,True,6.81,2,12340519,11690626,649893,,Optimal,True,11690626,0.0,54768.9,42884.1,13,17,0,False,0,0.7308,0
1.0,maize,F0126,0.0597,0.0597,True,7.45,2,12340519,12201863,138656,,Optimal,True,12201863,0.0,372636.0,350403.7,13,17,0,False,0,0.7309,0
1.0,onion,F0354,0.152,0.152,True,9.18,2,12340519,11383320,957199,,Optimal,True,11383320,0.0,616175.3,522499.4,13,17,0,False,0,0.7286,0
1.0,pigeon_pea,F0188,0.2248,0.2248,True,5.15,4,12340519,12139536,200983,,Optimal,True,12139536,0.0,12873.6,9980.1,13,17,0,False,0,0.7309,0
1.0,rice,F0090,0.0663,0.0663,True,3.5,2,12340519,12317057,23462,,Optimal,True,12317057,0.0,149013.0,139131.1,13,17,0,False,0,0.7302,0
1.0,sorghum,F0193,0.3063,0.3063,True,5.85,2,12340519,12244546,95973,,Optimal,True,12244546,0.0,23474.5,16285.4,13,17,0,False,0,0.7308,0
1.0,soybean,F0372,0.1181,0.1181,True,4.02,2,12340519,12317345,23174,,Optimal,True,12317345,0.0,46431.3,40946.9,13,17,0,False,0,0.7297,0
0.4,cotton,F0436,0.3988,0.3988,True,0.98,1,12285254,12252508,32746,,Optimal,True,12273775,0.6495,3079.7,1537.3,13,18,0,False,0,0.7311,0
0.4,groundnut,F0138,0.217,0.217,True,6.81,2,12285254,11635361,649893,,Optimal,True,11635361,0.0,54768.9,42884.1,13,17,0,False,0,0.7295,0
0.4,maize,F0126,0.0594,0.0594,True,7.45,2,12285254,12146598,138656,,Optimal,True,12146598,0.0,374026.8,351794.5,13,17,0,False,0,0.7296,0
0.4,onion,F0354,0.1536,0.1536,True,9.18,2,12285254,11328055,957199,,Optimal,True,11328055,0.0,610001.8,516325.9,13,17,0,False,0,0.7272,0
0.4,pigeon_pea,F0188,0.2331,0.2331,True,5.15,4,12285254,12084271,200983,,Optimal,True,12084271,0.0,12410.6,9517.2,13,17,0,False,0,0.7296,0
0.4,rice,F0090,0.0663,0.0663,True,3.5,2,12285254,12261792,23462,,Optimal,True,12261792,0.0,149013.0,139131.1,13,17,0,False,0,0.7289,0
0.4,sorghum,F0193,0.3063,0.3063,True,5.85,2,12285254,12189281,95973,,Optimal,True,12189281,0.0,23474.5,16285.4,13,17,0,False,0,0.7295,0
0.4,soybean,F0372,0.1181,0.1181,True,4.02,2,12285254,12262080,23174,,Optimal,True,12262080,0.0,46431.3,40946.9,13,17,0,False,0,0.7284,0
0.33,cotton,F0436,0.3297,0.3297,True,0.98,1,12235846,12203100,32746,,Optimal,True,12250949,1.4612,3724.5,1835.2,15,17,0,False,0,0.7308,0
0.33,groundnut,F0138,0.217,0.217,True,6.81,2,12235846,11585953,649893,,Optimal,True,11585953,0.0,54768.9,42884.1,14,18,0,False,0,0.73,0
0.33,maize,F0126,0.0594,0.0594,True,7.45,2,12235846,12097190,138656,,Optimal,True,12097190,0.0,374026.8,351794.5,14,18,0,False,0,0.73,0
0.33,onion,F0354,0.1553,0.1553,True,9.18,2,12235846,11278647,957199,,Optimal,True,11278647,0.0,603205.6,509529.7,14,18,0,False,0,0.7276,0
0.33,pigeon_pea,F0188,0.2331,0.2331,True,5.15,4,12235846,12034863,200983,,Optimal,True,12034863,0.0,12410.6,9517.2,14,18,0,False,0,0.7301,0
0.33,rice,F0090,0.0663,0.0663,True,3.5,2,12235846,12212384,23462,,Optimal,True,12212384,0.0,149013.0,139131.1,14,18,0,False,0,0.7294,0
0.33,sorghum,F0193,0.3063,0.3063,True,5.85,2,12235846,12139873,95973,,Optimal,True,12139873,0.0,23474.5,16285.4,14,18,0,False,0,0.7299,0
0.33,soybean,F0372,0.1181,0.1181,True,4.02,2,12235846,12212672,23174,,Optimal,True,12212672,0.0,46431.3,40946.9,14,18,0,False,0,0.7288,0
